study_accession	pmcid	table	method	n_samples	n_fills	confidence	note
PRJDB10735			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJDB4867			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJDB6244	PMC5923170		abstained	0	0	none	no joinable table
PRJEB12817	PMC5823397		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['pone.0191958.s003.pdf', 'pone.0191958.s002.pdf']
PRJEB15325			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJEB1730			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJEB17888	PMC7672463		abstained	0	0	none	no joinable table
PRJEB18733			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJEB19777	PMC5487458	Data_Sheet_1.pdf	direct	10	10	high	mapped 10 samples, 30 cell-fills; rescued ['host=vocab']; overwrite guard: 10/30 fills kept; kept ENA over table on collection_date×10, isolation_source×10
PRJEB20357	PMC9155631		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['dkac071_supplementary_data.docx', 'dkac071_supplementary_data.docx']
PRJEB22139	PMC5540593		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['12864_2017_3955_MOESM1_ESM.xlsx']
PRJEB23845	PMC6785715	41587_2018_9_MOESM3_ESM.xlsx	abstained	0	0	low	no per-sample fields resolved; value-check rejected ['isolation_source']
PRJEB2399	PMC3410874		abstained	0	0	none	no joinable table
PRJEB24612			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJEB24641	PMC5631940		abstained	0	0	none	no joinable table
PRJEB25682			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJEB27344			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJEB27707			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJEB29106			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJEB30102	PMC6535532		abstained	0	0	none	no joinable table
PRJEB30858	PMC7744980	ciz1130_suppl_supplementary_tables.xlsx	direct	21	63	high	mapped 21 samples, 63 cell-fills; rescued ['host=vocab']
PRJEB31347	PMC12607791		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['mbio.01428-25-s0001.pdf', 'mbio.01428-25-s0001.pdf', 'mbio.01428-25-s0001.pdf', 'mbio.01428-25-s0001.pdf', 'mbio.01428-25-s0001.pdf', 'mbio.01428-25-s0002.xlsx', 'mbio.01428-25-s0002.xlsx']
PRJEB3226			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJEB33495	PMC6938319		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['pone.0226828.s003.docx', 'pone.0226828.s002.xlsx', 'pone.0226828.s005.docx']
PRJEB34353	PMC6929489	Table_1.xlsx	direct	19	19	high	mapped 19 samples, 38 cell-fills; overwrite guard: 19/38 fills kept; overwrote isolation_source×19(All four proposed overwrites rep); kept ENA over table on collection_date×19
PRJEB34549	PMC8044893		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['Table_1.XLSX', 'Table_1.XLSX', 'Table_1.XLSX', 'Table_1.XLSX', 'Table_1.XLSX', 'Table_1.XLSX']
PRJEB35018	PMC7233586		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['pone.0233313.s002.xlsx', 'pone.0233313.s003.xlsx']
PRJEB37551	PMC10140293	Data_Sheet_2.xlsx	direct	24	24	medium	mapped 24 samples, 24 cell-fills; rescued ['host=vocab']; value-check rejected ['host', 'isolation_source']
PRJEB38650			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJEB38818	PMC11272044		abstained	0	0	none	no joinable table
PRJEB38898	PMC8190610	mgen-7-0519-s002.xlsx	direct	10	22	high	mapped 10 samples, 30 cell-fills; rescued ['host=vocab']; overwrite guard: 22/30 fills kept; overwrote collection_date×2(more-specific), isolation_source×10(Two overwrites substantially imp); kept ENA over table on collection_date×8
PRJEB3980	PMC4498295		abstained	0	0	none	no joinable table
PRJEB41835	PMC8269217	msystems.00244-21-st001.pdf	direct	17	17	high	mapped 17 samples, 51 cell-fills; rescued ['host=vocab']; overwrite guard: 17/51 fills kept; kept ENA over table on collection_date×16, isolation_source×17; dropped 1 invalid ({'collection_date': 1})
PRJEB42167			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJEB42426			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJEB43391			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJEB43543			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJEB44870	PMC8230887		abstained	0	0	none	no joinable table
PRJEB45397	PMC10394256		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['mmc2.xlsx', 'mmc3.pdf', 'mmc3.pdf', 'mmc3.pdf', 'mmc3.pdf']
PRJEB45776	PMC8956024		abstained	0	0	none	no joinable table
PRJEB46126	PMC8918851		abstained	0	0	none	no joinable table
PRJEB48744			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJEB50554	PMC12164281		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['2400590_SupplementaryMaterial_1.pdf']
PRJEB52158	PMC12277283		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['Table_1.xlsx', 'Table_4.xlsx', 'Table_2.xlsx', 'Table_3.xlsx', 'Table_3.xlsx']
PRJEB58365	PMC10665453	15010_2023_2061_MOESM1_ESM.docx	abstained	0	0	high	joinable tables are accession-manifest only (no field columns)
PRJEB58695	PMC12753507		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['Table_1.DOCX']
PRJEB60418	PMC10434174	spectrum.01386-23-s0003.xlsx	direct	20	19	high	mapped 20 samples, 80 cell-fills; rescued ['host=vocab']; overwrite guard: 19/80 fills kept; kept ENA over table on country×20, collection_date×20, isolation_source×20; dropped 1 invalid ({'host': 1})
