study_accession	study_type	study_type_excluded	paper_records_in_taxon	paper_coverage_for_taxon	needs_manual_download	fulltext_source	is_full_text	grade_context_chars	full_text_would_help	model	study_setting__value	study_setting__grade	amr_study__value	amr_study__grade	amr_target__value	amr_target__grade	amr_method__value	amr_method__grade	cohort_age__value	cohort_age__grade	backfill_country__value	backfill_country__whole_project	backfill_isolation_source__value	backfill_isolation_source__whole_project	backfill_host__value	backfill_host__whole_project	backfill_collection_date__value	backfill_collection_date__whole_project
PRJNA591480	observational	False	1	0.0102	False	europepmc_fulltext	True	25940	False	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Norway	True	marine bivalve mollusc tissue	True	marine bivalve mollusc	True		False
PRJNA641536	observational	False			True	none	False	0	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	newborn_young_child	gradeable	Vietnam	True	feces	True	human	True		False
PRJNA757198	observational	False	97	1.0	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Spain	True	rectal swab	False	human	True		False
PRJEB35890	observational	False	117	1.2188	False	europepmc_fulltext	True	14359	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable		False		False	human	True		False
PRJEB50277	observational	False	97	1.0104	False	local_pdf	True	47447	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	United Arab Emirates	True		False	human	True	2018-11-14	True
PRJNA351846	observational	False	7	0.0737	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	newborn_young_child	gradeable	Nigeria	True	blood	True	human	True		False
PRJEB64408	observational	False	113	1.1895	False	europepmc_fulltext	True	47911	False	claude-sonnet-4-6	mixed	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	mixed	gradeable	Vietnam	True	blood	False	human	True		False
PRJEB39942	observational	False	95	1.0	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	mixed	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	United Kingdom	True	wastewater	True	wastewater	True	2019-07-01	True
PRJEB9325	observational	False	70	0.7527	False	europepmc_fulltext	True	47959	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Brazil	True	urine	False	human	True		False
PRJNA395864	observational	False	93	1.0	False	europepmc_fulltext	True	22694	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	newborn_young_child	gradeable	Cambodia	True	rectal swab	False	human	False	2013-07-02	True
PRJNA781656	observational	False	92	1.0	False	europepmc_fulltext	True	28601	False	claude-sonnet-4-6	mixed	gradeable	mixed	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	adult	gradeable	Australia	True		False	human	True	2018-08-19	True
PRJEB8265	observational	False	71	0.7802	False	europepmc_fulltext	True	49134	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Malawi	True	blood	True	human	True		False
PRJEB36392	observational	False	92	1.011	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	mixed	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	newborn_young_child	gradeable	Norway	True	faecal swab	True	human	True	2009-11-15	False
PRJNA1004324	observational	False			False	none	False	0	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	USA	True		False	human	True		False
PRJNA937403	observational	False	89	1.0	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	mixed	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	adult	gradeable	Colombia	True		False	human	True		False
PRJNA1026096	observational	False			False	none	False	0	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable	Italy	True		False		False		False
PRJEB64702	observational	False	87	1.0	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable	adult	gradeable	Italy	True		False	human	True		False
PRJEB5495	observational	False			False	none	False	0	False	claude-sonnet-4-6		not_gradeable	amr	gradeable	other	gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA488070	observational	False	88	1.0233	False	europepmc_fulltext	True	24983	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	South Africa	True		False	human	True		False
PRJEB57245	observational	False	85	1.0	False	europepmc_fulltext	True	29598	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	adult	gradeable	Spain	True		False	human	True	2020-10-15	True
PRJNA237670	observational	False	85	1.0119	False	pdf	True	30634	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable		False		False	human	True		False
PRJEB53419	observational	False	81	0.9643	True	abstract	False	1876	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Israel	True		False	human	True	2018-12-31	True
PRJNA605147	observational	False	76	0.9048	False	europepmc_fulltext	True	46663	False	claude-sonnet-4-6	community	gradeable	mixed	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		not_gradeable	United Kingdom	True		False		False	2017-06-16	True
PRJEB45369	observational	False			True	none	False	0	False	claude-sonnet-4-6	mixed	gradeable	amr	gradeable		partial	ast_result	gradeable	mixed	gradeable	Netherlands	True	rectal swab	True		False		False
PRJNA231221	observational	False			False	europepmc_fulltext	True	50000	False	claude-sonnet-4-6	mixed	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	human	False		False
PRJEB42526	observational	False	82	0.988	False	europepmc_fulltext	True	23496	False	claude-sonnet-4-6	mixed	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Saint Kitts and Nevis	True		False	human	False		False
PRJNA289272	observational	False	82	1.0	False	europepmc_fulltext	True	24062	False	claude-sonnet-4-6	mixed	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	USA	True	retail meat	False		False	2012-05-01	True
PRJEB11403	observational	False	0	0.0	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable	Thailand	True		False		False	2014-12-31	True
PRJEB26814	observational	False	82	1.0	False	europepmc_fulltext	True	47911	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	mixed	gradeable	Vietnam	True	blood	True	human	True		False
PRJDB16654	observational	False			False	none	False	0	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Japan	True	respiratory specimen	True	human	True		False
PRJNA342893	observational	False	80	1.0	False	local_pdf	True	10000	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	adult	gradeable	Singapore	True		False	human	True	2014-08-15	True
PRJNA663884	observational	False	80	1.0	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	adult	gradeable	Austria	True	stool	True	human	True	2018-12-31	True
PRJEB34380	observational	False	80	1.0	False	europepmc_fulltext	True	41610	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	adult	gradeable	Brazil	True		False	human	True	2018-04-01	True
PRJEB49056	observational	False	82	1.025	False	pdf	True	85466	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	France	True		False	human	True		False
PRJNA413040	observational	False			True	none	False	0	False	claude-sonnet-4-6		not_gradeable	amr	gradeable	other	gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA1095184	observational	False			True	none	False	0	False	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False	stool	True	human	True		False
PRJNA910977	observational	False	76	1.0	False	europepmc_fulltext	True	50000	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	adult	gradeable	Switzerland	True	rectal swab	False	human	True		False
PRJEB51224	observational	False	76	1.0	False	europepmc_fulltext	True	50000	False	claude-sonnet-4-6	hospital	gradeable	mixed	gradeable	carbapenem	gradeable	ast_result	gradeable	mixed	gradeable		False	urine	False	human	True	2019-07-16	True
PRJNA389557	observational	False	45	0.5921	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	adult	partial	Thailand	True	rectal swab	False	human	True	2016-08-15	True
PRJEB56668	observational	False	73	1.0	False	europepmc_fulltext	True	47399	False	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Italy	True	food and food production environment	False	food	True	2020-09-15	True
PRJNA259658	observational	False			False	europepmc_fulltext	True	50000	False	claude-sonnet-4-6	hospital	gradeable	mixed	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	United States	False		False	human	True		False
PRJNA1050414	observational	False	72	1.0	False	europepmc_fulltext	True	45773	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	China	True		False	human	True		False
PRJNA561493	observational	False			False	none	False	0	False	claude-sonnet-4-6	hospital	gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	human	True		False
PRJNA1061342	observational	False	71	1.0	False	local_pdf	True	10000	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	mixed	gradeable	China	True		False	human	True		False
PRJNA479772	observational	False	109	1.5352	True	abstract	False	2195	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	USA	True	blood	True	human	True	2013-07-02	True
PRJNA599387	observational	False	73	1.0429	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	mixed	gradeable	Qatar	True	rectal swab	False	human	True	2018-07-02	True
PRJEB50346	observational	False			False	none	False	0	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	human	True		False
