study_accession	study_type	study_type_excluded	paper_records_in_taxon	paper_coverage_for_taxon	needs_manual_download	fulltext_source	is_full_text	grade_context_chars	full_text_would_help	model	study_setting__value	study_setting__grade	amr_study__value	amr_study__grade	amr_target__value	amr_target__grade	amr_method__value	amr_method__grade	cohort_age__value	cohort_age__grade	backfill_country__value	backfill_country__whole_project	backfill_isolation_source__value	backfill_isolation_source__whole_project	backfill_host__value	backfill_host__whole_project	backfill_collection_date__value	backfill_collection_date__whole_project
PRJEB76311	observational	False	49	1.0	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	mixed	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Egypt	True		False		False	2021-07-02	True
PRJNA575579	observational	False	49	1.0	False	europepmc_fulltext	True	36250	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	adult	gradeable	China	True		False	human	True		False
PRJDB8975	observational	False	46	0.9388	False	europepmc_fulltext	True	25780	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Myanmar	True	blood	False	human	True	2016-10-30	True
PRJEB34793	experimental_evolution	True	47	0.9592	False	europepmc_fulltext	True	27814	False	claude-sonnet-4-6	community	gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable	United Kingdom	True	water-filled tree hole	True	freshwater	True	2013-12-15	True
PRJEB62836	observational	False	48	1.0	False	europepmc_fulltext	True	49956	False	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Portugal	True		False	chicken	False		False
PRJNA836696	observational	False	34	0.7083	False	europepmc_fulltext	True	70332	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	USA	True	blood	True	human	True		False
PRJNA744003	observational	False	48	1.0	False	europepmc_fulltext	True	28960	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Switzerland	True		False	human	True	2020-01-01	True
PRJNA986308	observational	False			True	none	False	0	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable		False		False	human	True		False
PRJEB50270	other	False			False	europepmc_fulltext	True	50000	False	claude-sonnet-4-6		not_gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA438531	observational	False			True	abstract	False	1084	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	human	True		False
PRJNA673499	observational	False	47	1.0	False	pdf	True	10000	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	adult	gradeable	USA	True		False	human	True		False
PRJEB21015	observational	False			False	pdf	True	88031	False	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	mixed	gradeable	United Kingdom	True	faeces	True	pig	True	2016-12-31	True
PRJNA922161	experimental_evolution	True	46	1.0	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJEB76496	observational	False	46	1.0	False	europepmc_fulltext	True	28854	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Croatia	True		False	human	True	2022-01-30	True
PRJEB34532	observational	False	26	0.5652	False	europepmc_fulltext	True	22368	False	claude-sonnet-4-6	mixed	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	adult	partial	Netherlands	True		False	human	False	2008-12-31	True
PRJNA1092662	observational	False			False	none	False	0	False	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	USA	True		False		False		False
PRJNA515630	observational	False	46	1.0	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	mixed	gradeable	Czech Republic	True		False	human	True		False
PRJNA390933	observational	False	46	1.0	False	local_pdf	True	10000	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	adult	gradeable	Canada	True	urine	False	human	True		False
PRJEB9327	observational	False	46	1.0	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	newborn_young_child	gradeable	Germany	True		False	human	False		False
PRJNA704495	observational	False	47	1.0217	False	pdf	True	22746	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Singapore	True		False	human	True	2019-11-01	True
PRJEB36171	observational	False	82	1.8222	False	europepmc_fulltext	True	35482	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Italy	True		False	human	True		False
PRJDB5126	observational	False	21	0.4667	False	pdf	True	50000	False	claude-sonnet-4-6	mixed	partial	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Myanmar	True		False	human	False	2016-03-01	True
PRJNA552297	experimental_evolution	True	45	1.0	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6		not_gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable		False		False		False		False
PRJNA308116	observational	False	34	0.7556	False	europepmc_fulltext	True	9830	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	other	gradeable	ast_result	gradeable		not_gradeable	Pakistan	True		False	human	True		False
PRJEB41225	observational	False	42	0.9333	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Brazil	True	blood	True	human	True		False
PRJDB11603	experimental_evolution	True	17	0.3778	False	europepmc_fulltext	True	50000	False	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Japan	True	soil	False	soil	False	2020-07-30	True
PRJNA1085970	observational	False	45	1.0	False	europepmc_fulltext	True	32539	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	adult	gradeable	China	True		False	human	True		False
PRJNA449293	observational	False	45	1.0	False	europepmc_fulltext	True	28861	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	other	gradeable	ast_result	gradeable		not_gradeable	Serbia	True		False	human	True		False
PRJNA323522	observational	False			False	none	False	0	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJEB8766	observational	False	44	1.0	False	europepmc_fulltext	True	26486	False	claude-sonnet-4-6	mixed	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	United Kingdom	True	wastewater	True	wastewater	True	2015-03-17	True
PRJDB6565	observational	False	95	2.1591	False	pdf	True	20352	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Japan	True	rectal swab	True	human	True	2015-12-31	True
PRJNA847410	observational	False	41	0.9318	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	newborn_young_child	gradeable	China	True		False	human	True		False
PRJNA431029	observational	False	44	1.0	False	europepmc_fulltext	True	28275	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	adult	gradeable	Singapore	True	blood	True	human	True		False
PRJNA529592	observational	False	136	3.0909	False	europepmc_fulltext	True	50000	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	USA	True		False	human	False		False
PRJNA943144	observational	False	42	1.0	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	United Kingdom	True	milk	True	cattle	True		False
PRJNA1092272	observational	False			False	europepmc_fulltext	True	33717	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	United Kingdom	True		False		False	2016-07-05	True
PRJEB3255	observational	False	42	1.0	False	europepmc_fulltext	True	17481	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	human	True		False
