study_accession	none_found	chosen_pmid	chosen_pmcid	chosen_doi	chosen_found_via	find_confidence	verified	sources_agreeing	coverage_estimate	coverage_fraction	shared_accession	umbrella	data_reuse_only	n_candidates	chosen_title
PRJEB76311	False	39399229	PMC11471225	10.1016/j.onehlt.2024.100904	europepmc_accession	high	True	1	49.0	1.0	False	False	False	1	Exploring AMR and virulence in <i>Klebsiella pneumoniae</i> isolated from humans and pet animals: A complement of phenotype by WGS-derived profiles in a One Health study in Egypt.
PRJNA575579	False	32921250	PMC7549996	10.1080/21505594.2020.1809322	europepmc_secondary	high	True	1	49.0	1.0	False	False	False	2	Hypervirulent <i>Klebsiella pneumoniae</i> is emerging as an increasingly prevalent <i>K. pneumoniae</i> pathotype responsible for nosocomial and healthcare-associated infections in Beijing, China.
PRJDB8975	False	35762817	PMC9431462	10.1128/spectrum.00673-22	web_search	high	False	1	38.0	0.7755	False	False	False	2	Spread of Carbapenem-Resistant Klebsiella pneumoniae Clinical Isolates Producing NDM-Type Metallo-β-Lactamase in Myanmar.
PRJEB34793	False	32029713	PMC7005322	10.1038/s41467-020-14570-z	europepmc_accession	high	False	1	49.0	1.0	False	False	False	1	Bacterial adaptation is constrained in complex communities.
PRJEB62836	False	38746750	PMC11092894	10.3389/fmicb.2024.1365011	europepmc_accession	high	True	1	48.0	1.0	False	False	False	1	Decoding <i>Klebsiella pneumoniae</i> in poultry chain: unveiling genetic landscape, antibiotic resistance, and biocide tolerance in non-clinical reservoirs.
PRJNA836696	False	36036505	PMC9601100	10.1128/msystems.00476-22	europepmc_accession,ncbi_bioproject	high	True	2	48.0	1.0	False	False	False	8	Systematic Analysis of Mobile Genetic Elements Mediating β-Lactamase Gene Amplification in Noncarbapenemase-Producing Carbapenem-Resistant <i>Enterobacterales</i> Bloodstream Infections.
PRJNA744003	False	34545787	PMC8462332	10.3201/eid2710.211265	europepmc_accession	high	True	1	108.0	2.25	False	False	False	2	New Delhi Metallo-β-Lactamase-Producing Enterobacterales Bacteria, Switzerland, 2019-2020.
PRJNA986308	True					high		0			False	False	False	2	
PRJEB50270	False	35396482	PMC9007738	10.1038/s41592-022-01431-4	europepmc_accession	high	False	1	48.0	1.0	False	False	False	1	Critical Assessment of Metagenome Interpretation: the second round of challenges.
PRJNA438531	False	29604079	PMC6167210	10.1111/nyas.13672	web_search	medium		1			False	False	False	2	Genomic epidemiology of multidrug-resistant Gram-negative organisms.
PRJNA673499	False			10.1101/2020.11.04.369173	web_search	high	True	1	53.0	1.1277	False	False	False	2	Genomic Characterization of Tissue Invasive Klebsiella pneumoniae Complex in a Hospital System with a Focus on Species Distribution and Hypervirulence
PRJEB21015	False			10.1101/659771	web_search	medium	False	1	47.0	1.0	False	False	False	6	Resistance to change? The impact of group medication on AMR gene dynamics during commercial pig production (bioRxiv preprint)
PRJNA922161	False	36678901	PMC9862994	10.3390/pharmaceutics15010270	europepmc_accession	high	False	1	46.0	1.0	False	False	False	1	Determination of Mutational Timing of Colistin-Resistance Genes through <i>Klebsiella pneumoniae</i> Evolution.
PRJEB76496	False	39791907	PMC11834398	10.1128/msystems.01128-24	europepmc_accession	high	True	1	46.0	1.0	False	False	False	1	Tracking clonal and plasmid transmission in colistin- and carbapenem-resistant <i>Klebsiella pneumoniae</i>.
PRJEB34532	False	21762575	PMC3381403	10.3201/eid1707.110209	web_search	medium	False	1	46.0	1.0	False	False	False	3	Extended-spectrum β-lactamase genes of Escherichia coli in chicken meat and humans, The Netherlands.
PRJNA1092662	True					low		0			False	False	False	0	
PRJNA515630	False	31408497	PMC6692064	10.1371/journal.pone.0221187	europepmc_accession	high	True	1	46.0	1.0	False	False	False	1	Application of mini-MLST and whole genome sequencing in low diversity hospital extended-spectrum beta-lactamase producing Klebsiella pneumoniae population.
PRJNA390933	False	29272439		10.1093/jac/dkx462	web_search	high		1	46.0	1.0	False	False	False	2	Characterization of OXA-48-like carbapenemase producers in Canada, 2011-14.
PRJEB9327	False	25967999	PMC4431171	10.1136/bmjopen-2014-007397	web_search	high	False	1	48.0	1.0435	False	False	False	1	What caused the outbreak of ESBL-producing Klebsiella pneumoniae in a neonatal intensive care unit, Germany 2009 to 2012? Reconstructing transmission with epidemiological analysis and whole-genome sequencing.
PRJNA704495	False	34060897	PMC8284435	10.1128/aac.00412-21	europepmc_accession	high	True	1	47.0	1.0217	False	False	False	1	Genomic Characterization of Klebsiella quasipneumoniae from Clinical Specimens in Singapore.
PRJEB36171	False	31992749	PMC6987216	10.1038/s41598-020-57742-z	europepmc_accession,europepmc_secondary,europepmc_title	high	False	3	66.0	1.4667	False	False	False	2	EasyPrimer: user-friendly tool for pan-PCR/HRM primers design. Development of an HRM protocol on wzi gene for fast Klebsiella pneumoniae typing.
PRJDB5126	False	30530602	PMC6395922	10.1128/aac.01924-18	europepmc_accession,ncbi_bioproject	medium	True	2	45.0	1.0	True	False	False	3	Spreading Patterns of NDM-Producing <i>Enterobacteriaceae</i> in Clinical and Environmental Settings in Yangon, Myanmar.
PRJNA552297	False	31744905	PMC6867876	10.1128/msystems.00465-19	web_search	high	False	1	45.0	1.0	False	False	False	1	Chemogenomic Screen for Imipenem Resistance in Gram-Negative Bacteria.
PRJNA308116	False	37504519	PMC10508161	10.1128/mra.00163-23	europepmc_accession	high	True	1	45.0	1.0	False	False	False	2	<i>Enterobacterales</i> draft genome sequences: 15 historical (1998-2004) and 30 contemporary (2015-2016) clinical isolates from Pakistan.
PRJEB41225	False	35171013	PMC8849082	10.1128/spectrum.01766-21	europepmc_accession	medium	True	1	45.0	1.0	False	False	False	1	Characterization of Amino Acid Substitution W20S in MgrB Involved in Polymyxin Resistance in Klebsiella pneumoniae.
PRJDB11603	False	37341708	PMC10327500	10.1099/mgen.0.001043	web_search	high	False	1	45.0	1.0	False	False	False	1	Transconjugant range of PromA plasmids in microbial communities is predicted by sequence similarity with the bacterial host chromosome.
