study_accession	gap_samples	gap_fields	fulltext_source	paywalled	per_sample_fills	mech_reason	supp_present	has_per_sample_table	table_fields	accession_keyed	table_reference	action	evidence_quote	pmcid	doi	save_as
PRJEB37378	6724	collection_date,country,host,isolation_source	europepmc_fulltext	False	0	unanchored	False	yes	isolation_source,collection_date	yes	S1 Table	OA_INVESTIGATE	S1 Table List of all isolates sequenced, including Accession numbers, Sample Type, Date of Collection, GPS of Origin, Species, Subspecies, Serovar, Sequence type and presence/absence of Resistance genes and SNPs.			PRJEB37378.xlsx
PRJEB42462	2556	country,isolation_source	pdf	True	1118	direct	True	yes	isolation_source,collection_date	yes	Table S3	SUPP_PRESENT	Sample-level data, including K/O calls, accessions and source information are given in Table S3.			PRJEB42462.xlsx
PRJEB28054	1304	collection_date,country,host,isolation_source	none	True	0	NO_PMCID	False	no_text				NO_PAPER				PRJEB28054.xlsx
PRJEB35685	824	collection_date,isolation_source	local_pdf	True	0	NO_PMCID	False	no		no		SKIP	Sequence reads were deposited in the European Nucleotide Archive (ENA) under study accession number PRJEB35685		10.1016/j.cmi.2020.01.027	PRJEB35685.xlsx
PRJEB22903	783	country,host,isolation_source	none	True	0	NO_PMCID	False	no_text				NO_PAPER				PRJEB22903.xlsx
PRJEB17615	684	collection_date,isolation_source	europepmc_fulltext	False	0	no_supp	False	likely	isolation_source,host,collection_date	yes	Microreact projects (linked in figure descriptions); ciab776_suppl_Supplementary_Material	OA_INVESTIGATE	Raw sequence data generated were deposited in the European Nucleotide Archive under the project accession PRJEB29738. Run accessions are provided in Microreact projects linked in the figure descriptions.	PMC7264328	10.1038/s41467-020-16322-5	PRJEB17615.xlsx
PRJNA996149	638	collection_date,isolation_source	pdf	True	0	no_supp	False	likely	isolation_source,collection_date	yes	Table S1 (AAC00735-23-s0002.xlsx)	FETCH_SUPP	Table S1 (AAC00735-23-s0002.xlsx). Siderophore concentration and genetic characteristics of 320 CRKp isolates	PMC10720542	10.1128/aac.00735-23	PRJNA996149.xlsx
PRJDB5929	631	isolation_source	europepmc_fulltext	False	0	unanchored	True	likely	isolation_source,collection_date	yes	Table S3	SUPP_PRESENT	Information on the WGS sequence data for each isolate is summarized in Table S3.			PRJDB5929.xlsx
PRJEB15226	576	collection_date,isolation_source	europepmc_fulltext	False	0	no_supp	False	yes		yes	Table S1	OA_INVESTIGATE	For a full list of the accession numbers, sample details and metadata, see Table S1.	PMC5121380	10.1128/jcm.01648-16	PRJEB15226.xlsx
PRJEB39867	572	collection_date,isolation_source	europepmc_fulltext	False	0	no_supp	False	likely	isolation_source	unclear	Supplementary Table S2	OA_INVESTIGATE	Table S2: Overview of the species, STs, and virulence factors of the K. pneumoniae complex 3GCR/CR colonising (a), 3GCR/CR (b), and 3GCS/CS (c) bloodstream isolates.	PMC9598256	10.3390/antibiotics11101286	PRJEB39867.xlsx
PRJEB38289	500	host	europepmc_fulltext	False	0	unanchored	False	no		no		SKIP	The set of isolates represent a convenience sample accumulated over 40 years, with the collection site known for the majority (74%). Isolates with known collection site were sourced from blood (32%), urine (31%), rectal screening swabs (10%), pus (7%) and wastewater (7%).	PMC7985491	10.1038/s41598-021-85724-2	PRJEB38289.xlsx
PRJEB29143	498	isolation_source	local_pdf	True	495	direct	True	likely	isolation_source,host	yes	Table S1; Table S3	SUPP_PRESENT	Genomic assemblies (Table S1) were obtained using SPAdes v3.9.	PMC7527070	10.1080/19490976.2020.1748257	PRJEB29143.xlsx
PRJNA549322	442	collection_date,country,isolation_source	pdf	True	0	no_supp	False	no		no		SKIP	The raw reads of the sequenced genomes were deposited in GenBank bioproject accession no. PRJNA549322.			PRJNA549322.xlsx
PRJNA765801	438	collection_date,isolation_source	local_pdf	True	0	abstained_other	False	likely	isolation_source,host,collection_date	yes	Supplementary Data 1	FETCH_SUPP	The sample-specific hybrid assembly accession codes are provided in Supplementary Data 1.	PMC12569050	10.1038/s41467-025-64515-7	PRJNA765801.xlsx
PRJNA1087366	405	collection_date,country,isolation_source	europepmc_fulltext	False	0	manifest_only	False	likely	isolation_source	yes	Supplementary Data 2	OA_INVESTIGATE	See Suplementary Data 2 for exact sample, experiment and run accessions.	PMC11087563	10.1038/s41467-024-48296-z	PRJNA1087366.xlsx
PRJEB24082	400	collection_date,isolation_source	europepmc_fulltext	False	0	no_supp	False	likely	isolation_source,collection_date	unclear	Supplementary Table S1	OA_INVESTIGATE	The sampling sites of the invasive samples are summarized in Table S1 (available with the online version of this paper).	PMC10132065	10.1099/mgen.0.000924	PRJEB24082.xlsx
PRJEB21277	388	collection_date,isolation_source	local_pdf	True	0	NO_PMCID	False	likely	isolation_source	unclear	Supplementary Table S1	FETCH_SUPP	The sampling sites of the invasive samples are summarized in Table S1 (available with the online version of this paper).			PRJEB21277.xlsx
PRJEB30134	338	collection_date,isolation_source	europepmc_fulltext	False	0	abstained_other	False	yes	isolation_source,collection_date	yes	Tables S1 and S2	OA_INVESTIGATE	The clinical metadata, sample IDs and sample accessions are described in Tables S1 and S2, available in the online version of this article.	PMC10438816	10.1099/mgen.0.001048	PRJEB30134.xlsx
PRJEB12699	282	collection_date,isolation_source	none	True	0	NO_PMCID	False	no_text				NO_PAPER				PRJEB12699.xlsx
PRJNA325243	241	host	europepmc_fulltext	False	0	abstained_other	False	yes	isolation_source,host,collection_date	yes	Supplemental File 1 (Animal Hosts and Collection Sites), Supplemental File 2 (NCBI SNP Clusters with isolate metadata), Supplemental File 7 (NCBI Accession Numbers)	OA_INVESTIGATE	Isolate-level accession numbers are listed in Supplemental File 7.	PMC12247286	10.1186/s12917-025-04686-z	PRJNA325243.xlsx
PRJEB36486	221	collection_date	local_pdf	True	0	manifest_only	False	likely	isolation_source,host,collection_date	yes	blantyreESBL R package / Supplementary Data	FETCH_SUPP	Reads from all isolates sequenced as part of this study have been submitted to the European Nucleotide Archive under project IDs PRJEB26677, PRJEB28522 and PRJEB36486 and accession numbers linked to metadata are available in the R package as well as in the Supplementary Data.	PMC9519460	10.1038/s41564-022-01216-7	PRJEB36486.xlsx
PRJEB1563	198	collection_date	local_pdf	True	0	manifest_only	False	likely	isolation_source,host,collection_date	yes	Table S1	FETCH_SUPP	WGS data is available at the European Nucleotide Archive (ENA) (http://www.ebi.ac.uk/ena) under the study accession numbers detailed in Table S1.	PMC5615107	10.1016/j.ijmm.2017.07.006	PRJEB1563.xlsx
PRJDB12075	184	isolation_source	europepmc_fulltext	False	0	no_supp	False	likely	isolation_source	unclear	Table S1 (aem.01712-22-s0001.xlsx), Table S6 (aem.01712-22-s0006.xlsx)	OA_INVESTIGATE	Twenty oral isolates and 27 rectal isolates obtained by using CHROMagar mSuperCARBA medium plates (Kanto Chemical, Japan) were used (see Fig. S1 and Table S6 in the supplemental material).	PMC9465067	10.1099/mgen.0.000827	PRJDB12075.xlsx
PRJNA767944	173	isolation_source	europepmc_fulltext	False	0	unanchored	False	no		no		SKIP	As shown in Table 1, most CP-Kpn isolates were cultured from sputum samples (102), with the remaining isolates coming from urine samples (35), focal specimens (15), blood cultures (10), cerebrospinal fluid (CSF) samples (5), catheters (3), pharyngeal swabs (2), and bronchoalveolar fluid (BALF) samples (1).	PMC9241541	10.1128/msphere.00143-22	PRJNA767944.xlsx
PRJEB22890	157	isolation_source	local_pdf	True	0	NO_PMCID	False	likely	isolation_source	yes	Supplementary Table S1	FETCH_SUPP	Individual accession numbers for de novo assemblies and genetic features of sequenced strains are detailed in Table S1 (available as Supplementary data at JAC Online).			PRJEB22890.xlsx
PRJNA634885	144	isolation_source	local_pdf	True	144	direct	False	no		no		SKIP	The 84 isolates were obtained from 84 persons and from various isolation sites, i.e. rectum/perineum (n = 43), throat (n = 11), pus (n = 2), sputum (n = 4), urine (n = 10), wound (n = 5) and nine were from miscellaneous isolation sites.	PMC7546619	10.1038/s41598-020-73440-2	PRJNA634885.xlsx
PRJEB64895	142	isolation_source	europepmc_fulltext	False	0	no_supp	False	no		no		SKIP	Of 247 carbapenem-R/I K. pneumoniae isolates with available information on infection or carriage, 173 (70.0%) were associated with infection, 61 (24.7%) with carriage, and 13 (5.3%) were of undetermined clinical significance.	PMC10668257	10.2807/1560-7917.es.2023.28.47.2300571	PRJEB64895.xlsx
PRJNA804332	138	isolation_source	europepmc_fulltext	False	0	unanchored	False	likely	isolation_source,host,collection_date	unclear	Supplementary Table 1	OA_INVESTIGATE	Detailed information regarding sequence type and antimicrobial resistance genes is given in Supplementary Table 1.	PMC9452910	10.3389/fcimb.2022.892126	PRJNA804332.xlsx
PRJNA855907	126	isolation_source	europepmc_fulltext	False	0	no_supp	False	yes	isolation_source,host,collection_date	yes	Table S1	OA_INVESTIGATE	Raw sequencing reads were deposited to the NCBI SRA archive under BioProject PRJNA855907; see Table S1, available in the online version of this article for a list of accessions.	PMC9430190	10.1128/spectrum.00975-22	PRJNA855907.xlsx
PRJEB74083	106	isolation_source	europepmc_fulltext	False	0	no_supp	False	no		no		SKIP	only epidemiological data collected by NVSPL under national surveillance regulations could be included.	PMC11027475	10.2807/1560-7917.es.2024.29.16.2400188	PRJEB74083.xlsx
PRJEB20799	92	host,isolation_source	local_pdf	True	0	NO_PMCID	False	likely	isolation_source,host,collection_date	yes	appendix pp 12–13	FETCH_SUPP	The genome data has been deposited in the European Nucleotide Archive (appendix pp 12–13).			PRJEB20799.xlsx
PRJEB19322	91	collection_date	local_pdf	True	0	no_supp	False	no		no		SKIP	All supporting data, code and protocols have been provided within the article or through supplementary data files.	PMC8743538	10.1099/mgen.0.000703	PRJEB19322.xlsx
PRJEB42331	80	isolation_source	europepmc_fulltext	False	80	direct	False	likely	isolation_source,collection_date	yes	Table S1, Suppl. File 1	OA_PARTIAL	537 carbapenemase-producing E. coli (n=230) and K. pneumoniae (n=307) isolates carrying bla OXA-48-like alleles … were included and were collected from 1 January 2014 until 31 December 2019 (Table S1, Suppl. File 1, available in the online version of this article).	PMC8209719	10.1099/mgen.0.000512	PRJEB42331.xlsx
