study_accession	gap_samples	gap_fields	fulltext_source	paywalled	per_sample_fills	mech_reason	supp_present	has_per_sample_table	table_fields	accession_keyed	table_reference	action	evidence_quote	pmcid	doi	save_as
PRJEB17888	96	collection_date,country,host,isolation_source	europepmc_fulltext	False	0	NO_PMCID	False	no		no		SKIP	All bacterial strains used in this study are listed in Supplementary Table S1.		10.1093/nar/gkaa907	PRJEB17888.xlsx
PRJEB20357	92	collection_date,country,host,isolation_source	europepmc_fulltext	False	0	unanchored	False	no		no		SKIP	Virulence factors and antimicrobial resistance genes segregated with MLST as expected (Tables S5 and S6).	PMC9155631	10.1093/jac/dkac071	PRJEB20357.xlsx
PRJNA986550	92	collection_date,country,host,isolation_source	europepmc_fulltext	False	0	unanchored	False	no		no		SKIP	Raw sequence reads of 616 (SRA accession: SRR6653995), 664 (SRA accession: SRR4115180), 714 (SRA accession: SRR4115178), and 1346 (SRA accession: SRR4115182) from NCBI database were assembled using PATRIC.	PMC10597399	10.1128/msphere.00288-23	PRJNA986550.xlsx
PRJEB15325	84	collection_date,country,host,isolation_source	abstract	True	0	NO_PMCID	False	no		no		SKIP	we combined genomic, phylogenomic and phenotypic analysis of a diverse set of K. pneumoniae and closely related species		10.1111/1462-2920.13689	PRJEB15325.xlsx
PRJEB24612	84	collection_date,country,host,isolation_source	none	True	0	NO_PMCID	False	no_text				NO_PAPER				PRJEB24612.xlsx
PRJEB1730	76	collection_date,country,host,isolation_source	none	True	0	NO_PMCID	False	no_text				NO_PAPER				PRJEB1730.xlsx
PRJEB70897	72	collection_date,host,isolation_source	europepmc_fulltext	False	0	unanchored	False	yes	isolation_source,host,collection_date	yes	Table 1, Table 2	OA_INVESTIGATE	Isolate ID, ICU PS, Hospital, Date collected, Sample type, Animal species, Site, Isolate	PMC10869444	10.3389/fmicb.2024.1334268	PRJEB70897.xlsx
PRJEB42167	69	collection_date,country,host	abstract	True	0	NO_PMCID	False	no		no		SKIP	We demonstrate highly variable degrees of ex vivo colonization resistance against a carbapenem-resistant Klebsiella pneumoniae strain in human feces samples and subsequently isolate diverse K. oxytoca strains from protected donors.		10.1016/j.chom.2021.09.003	PRJEB42167.xlsx
PRJNA635420	68	collection_date,country,host,isolation_source	none	True	0	NO_PMCID	False	no_text				NO_PAPER				PRJNA635420.xlsx
PRJNA356346	66	collection_date,country,isolation_source	none	True	0	NO_PMCID	False	no_text				NO_PAPER				PRJNA356346.xlsx
PRJEB52158	64	collection_date,country,host,isolation_source	europepmc_fulltext	False	0	NO_PMCID	False	yes	isolation_source,collection_date	yes	Supplementary Tables 3 and 4	OA_INVESTIGATE	The SRA accession numbers and other metadata for each sample are provided in Supplementary Table 1.		10.3389/fmicb.2025.1603736	PRJEB52158.xlsx
PRJNA984017	60	collection_date,country,host,isolation_source	europepmc_fulltext	False	0	unanchored	False	likely		unclear	Table S2 (Appendix A / Supplementary Data 1)	OA_INVESTIGATE	Detailed information of the strain panel is listed in Table S2 in Appendix A.	PMC11913740	10.1016/j.eng.2024.02.010	PRJNA984017.xlsx
PRJNA523429	56	collection_date,country,host,isolation_source	none	True	0	NO_PMCID	False	no_text				NO_PAPER				PRJNA523429.xlsx
PRJEB25682	54	collection_date,country,isolation_source	none	True	0	NO_PMCID	False	no_text				NO_PAPER				PRJEB25682.xlsx
PRJEB3226	52	collection_date,country,host,isolation_source	none	True	0	NO_PMCID	False	no_text				NO_PAPER				PRJEB3226.xlsx
