study_accession	has_paper	date_gap	source_gap	gap_samples	ena_taxon_samples	fulltext_status	best_url	doi	pmid	pmcid	paper_link	title	save_as
PRJEB50822	True	0	0	0	376	none	https://doi.org/10.3389/fmicb.2022.918362	10.3389/fmicb.2022.918362	35847090	PMC9279682	https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2022.918362/full#supplementary-material	CARB-ES-19 Multicenter Study of Carbapenemase-Producing <i>Klebsiella pneumonia</i>e and <i>Escherichia coli</i> From All Spanish Provinces Reveals Interregional Spread of High-Risk Clones Such as ST307/OXA-48 and ST512/KPC-3.	PRJEB50822.pdf
PRJNA557275	True	0	0	0	340	abstract	https://doi.org/10.1093/cid/ciz623	10.1093/cid/ciz623	31513705	PMC7201408	https://pmc.ncbi.nlm.nih.gov/articles/PMC7201408/	Emergence of Polymyxin Resistance in Clinical Klebsiella pneumoniae Through Diverse Genetic Adaptations: A Genomic, Retrospective Cohort Study.	PRJNA557275.pdf
PRJNA789565	True	0	0	0	330	none	https://doi.org/10.1038/s41467-022-31990-1	10.1038/s41467-022-31990-1	35915063	PMC9343666	https://www.nature.com/articles/s41467-022-31990-1	Combined comparative genomics and clinical modeling reveals plasmid-encoded genes are independently associated with Klebsiella infection.	PRJNA789565.pdf
PRJNA857686	True	0	0	0	313	none	https://doi.org/10.1371/journal.pone.0277575	10.1371/journal.pone.0277575	36795668	PMC9934365		GAMBIT (Genomic Approximation Method for Bacterial Identification and Tracking): A methodology to rapidly leverage whole genome sequencing of bacterial isolates for clinical identification.	PRJNA857686.pdf
PRJNA789336	True	0	0	0	258	abstract	https://link.springer.com/article/10.1007/s10096-022-04425-4				https://link.springer.com/article/10.1007/s10096-022-04425-4		PRJNA789336.pdf
PRJNA544438	True	0	0	0	237	none	https://doi.org/10.1371/journal.pone.0239924	10.1371/journal.pone.0239924	33036018	PMC7546912	https://www.sciencedirect.com/science/article/pii/S0924857923002467	Clinical and molecular characteristics of carbapenem non-susceptible Escherichia coli: A nationwide survey from Oman.	PRJNA544438.pdf
PRJEB22252	True	0	0	0	237	none	https://doi.org/10.1038/s41586-019-1560-1	10.1038/s41586-019-1560-1	31534227	PMC6894937	https://www.nature.com/articles/s41467-021-26041-0	Stunted microbiota and opportunistic pathogen colonization in caesarean-section birth.	PRJEB22252.pdf
PRJEB6574	True	0	0	0	221	none	https://doi.org/10.1073/pnas.1501049112	10.1073/pnas.1501049112	26100894	PMC4500264	https://pathogen.watch/collection/klebnet-neonatal-sepsis	Genomic analysis of diversity, population structure, virulence, and antimicrobial resistance in Klebsiella pneumoniae, an urgent threat to public health.	PRJEB6574.pdf
PRJNA765801	True	0	0	0	213	none	https://doi.org/10.1038/s41467-025-64515-7	10.1038/s41467-025-64515-7	41152242	PMC12569050	https://www.nature.com/articles/s41467-022-30637-5#data-availability	Plasmid dynamics driving carbapenemase gene dissemination in healthcare environments: a nationwide analysis of closed Enterobacterales genomes.	PRJNA765801.pdf
PRJNA1133624	True	0	0	0	209	none	https://doi.org/10.1128/jcm.01105-24	10.1128/jcm.01105-24	40130831	PMC12077086		Rapid prediction of carbapenemases in &lt;i&gt;Pseudomonas aeruginosa&lt;/i&gt; by imipenem/relebactam and MALDI-TOF MS.	PRJNA1133624.pdf
PRJEB21277	True	0	0	0	193	none	https://doi.org/10.1099/mgen.0.000924	10.1099/mgen.0.000924	36916881	PMC10132065	https://www.sciencedirect.com/science/article/pii/S016041202100091X?via%3Dihub#t0010	Dissemination of carbapenemase-producing <i>Enterobacterales</i> in Ireland from 2012 to 2017: a retrospective genomic surveillance study.	PRJEB21277.pdf
PRJNA787062	True	0	0	0	192	none	https://doi.org/10.1128/aac.00534-22	10.1128/aac.00534-22	35876577	PMC9380574	https://www.tandfonline.com/doi/full/10.1080/22221751.2024.2440494;	Genomic Epidemiology of Carbapenemase-Producing and Colistin-Resistant <i>Enterobacteriaceae</i> among Sepsis Patients in Ethiopia: a Whole-Genome Analysis.	PRJNA787062.pdf
PRJNA396774	True	0	0	0	177	none	https://www.nature.com/articles/s41598-017-18972-w				https://www.nature.com/articles/s41598-017-18972-w		PRJNA396774.pdf
PRJNA395086	True	0	0	0	166	none	https://doi.org/10.1128/msystems.00194-21	10.1128/msystems.00194-21	34519526	PMC8547452	https://academic.oup.com/jac/article/77/2/356/6403927	Genomic Features Associated with the Degree of Phenotypic Resistance to Carbapenems in Carbapenem-Resistant Klebsiella pneumoniae.	PRJNA395086.pdf
PRJEB22890	True	0	0	0	157	abstract	https://pubmed.ncbi.nlm.nih.gov/33188415/				https://pubmed.ncbi.nlm.nih.gov/33188415/	The changing epidemiology of carbapenemase-producing Klebsiella pneumoniae in Italy: toward polyclonal evolution with emergence of high-risk lineages	PRJEB22890.pdf
PRJNA634885	True	0	0	0	144	none	https://doi.org/10.1038/s41598-020-73440-2	10.1038/s41598-020-73440-2	33033293	PMC7546619	https://www.nature.com/articles/s41598-020-73440-2#MOESM2	Plasmid diversity among genetically related Klebsiella pneumoniae bla<sub>KPC-2</sub> and bla<sub>KPC-3</sub> isolates collected in the Dutch national surveillance.	PRJNA634885.pdf
PRJNA564992	True	0	0	0	142	none	https://doi.org/10.1093/jac/dkab269	10.1093/jac/dkab269	34378029		https://academic.oup.com/jac/article/76/11/2815/6347675	ESBL-positive Escherichia coli and Klebsiella pneumoniae isolates from across Canada: CANWARD surveillance study, 2007-18.	PRJNA564992.pdf
PRJEB19322	True	0	0	0	92	none	https://doi.org/10.1099/mgen.0.000703	10.1099/mgen.0.000703	34793293	PMC8743538	https://www.medrxiv.org/content/10.1101/2025.06.28.25330253v1.full;	Genomic investigation of a suspected &lt;i&gt;Klebsiella pneumoniae&lt;/i&gt; outbreak in a neonatal care unit in sub-Saharan Africa.	PRJEB19322.pdf
PRJNA351909	True	0	0	0	58	none	https://doi.org/10.1093/cid/cix270	10.1093/cid/cix270	28369261	PMC5850561	https://www.nature.com/articles/s41467-022-30717-6	Gastrointestinal Carriage Is a Major Reservoir of Klebsiella pneumoniae Infection in Intensive Care Patients.	PRJNA351909.pdf
PRJNA398288	True	0	0	0	36	none	https://doi.org/10.1093/jac/dkx466	10.1093/jac/dkx466	29253152		https://academic.oup.com/jac/article/73/3/634/4745835#supplementary-data	Whole genome analysis of cephalosporin-resistant Escherichia coli from bloodstream infections in Australia, New Zealand and Singapore: high prevalence of CMY-2 producers and ST131 carrying blaCTX-M-15 and blaCTX-M-27.	PRJNA398288.pdf
PRJEB12699	False	126	0	126	143	none							PRJEB12699.pdf
PRJEB28054	False	0	0	0	326	none							PRJEB28054.pdf
PRJEB22903	False	0	0	0	271	none							PRJEB22903.pdf
PRJNA820335	False	0	0	0	110	none							PRJNA820335.pdf
