study_accession	pmcid	table	method	n_samples	n_fills	confidence	note
PRJDB12075	PMC9465067		abstained	0	0	none	no joinable table
PRJDB12116	PMC11571079	mgen-10-01295-s002.xlsx	direct	53	54	high	mapped 53 samples, 103 cell-fills; rescued ['host=vocab']; ENA-complete-field guard: 54/103 fills kept; kept ENA over table on host×49
PRJDB5929	PMC9453063		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['mgen-8-0797-s001.pdf', 'mgen-8-0797-s001.pdf', 'mgen-8-0797-s001.pdf', 'mgen-8-0797-s002.xlsx', 'PRJDB5929.csv']
PRJEB12699			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJEB15226	PMC5121380		abstained	0	0	none	no joinable table
PRJEB1563	PMC5615107	mmc6.xlsx	abstained	0	0	high	joinable tables are accession-manifest only (no field columns); no bridge to field tables ['mmc6.xlsx']
PRJEB17615	PMC7264328		abstained	0	0	none	no joinable table
PRJEB1800	PMC4364942		abstained	0	0	none	no joinable table
PRJEB19322	PMC8743538		abstained	0	0	none	no joinable table
PRJEB20799			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJEB21277			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJEB21605	PMC6966826	PRJEB21605.csv	direct	148	592	high	mapped 148 samples, 592 cell-fills; rescued ['host=vocab']
PRJEB22890			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJEB22903			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJEB24082	PMC10132065		abstained	0	0	none	no joinable table
PRJEB24083	PMC10132065		abstained	0	0	none	no joinable table
PRJEB24084	PMC10132065		abstained	0	0	none	no joinable table
PRJEB24085	PMC10132065	PRJEB24085.pdf	direct	54	158	high	mapped 54 samples, 158 cell-fills; rescued ['host=vocab']
PRJEB24086	PMC10132065		abstained	0	0	none	no joinable table
PRJEB24087	PMC10132065		abstained	0	0	none	no joinable table
PRJEB24970	PMC6977969	PRJEB24970.csv	abstained	224	0	medium	mapped 224 samples, 672 cell-fills; rescued ['host=vocab']; ENA-complete-field guard: 0/672 fills kept; kept ENA over table on collection_date×224, isolation_source×224, host×224
PRJEB27256	PMC8865009		abstained	0	0	none	no joinable table
PRJEB28054			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJEB28400		PRJEB28400.csv	direct	719	2154	medium	mapped 719 samples, 2154 cell-fills; rescued ['host=vocab', 'isolation_source=paper']
PRJEB29143	PMC7527070	PRJEB29143.csv	direct	496	502	high	mapped 496 samples, 992 cell-fills; ENA-complete-field guard: 502/992 fills kept; kept ENA over table on country×490
PRJEB29740	PMC11316559	mgen-10-01271-s002.xlsx	direct	815	2445	high	mapped 815 samples, 2445 cell-fills
PRJEB29742	PMC8634422	ciab777_suppl_supplementary_table_2.xlsx	direct	425	850	high	mapped 425 samples, 850 cell-fills
PRJEB30134	PMC10438816	mgen-9-1048-s001.pdf	direct	32	128	high	mapped 32 samples, 128 cell-fills
PRJEB33565	PMC8007471	41564_2021_870_MOESM4_ESM.xlsx	abstained	0	0	high	joinable tables are accession-manifest only (no field columns); no bridge to field tables ['41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM3_ESM.pdf', '41564_2021_870_MOESM6_ESM.xlsx', '41564_2021_870_MOESM1_ESM.pdf', '41564_2021_870_MOESM1_ESM.pdf', '41564_2021_870_MOESM1_ESM.pdf', '41564_2021_870_MOESM1_ESM.pdf', '41564_2021_870_MOESM1_ESM.pdf', '41564_2021_870_MOESM1_ESM.pdf', '41564_2021_870_MOESM1_ESM.pdf']
PRJEB35685			NO_PMCID	0	0	none	no PMCID and no manual/committed supp table — cannot fetch supplementary; see missing-papers
PRJEB36486	PMC9519460	EMS151721-supplement-Sample_accession_numbers.csv	abstained	0	0	high	joinable tables are accession-manifest only (no field columns); no bridge to field tables ['EMS151721-supplement-Supplementary_Data.pdf', 'EMS151721-supplement-Supplementary_Data.pdf']
PRJEB36683	PMC11025284	13073_2024_1332_MOESM1_ESM.xlsx	direct	328	656	high	mapped 328 samples, 656 cell-fills
PRJEB37378	PMC12431665		abstained	0	0	none	no joinable table; field-bearing tables present but unanchored: ['pntd.0012413.s005.xlsx', 'pntd.0012413.s010.docx', 'pntd.0012413.s007.xlsx', 'pntd.0012413.s006.xlsx', 'pntd.0012413.s006.xlsx', 'pntd.0012413.s004.xlsx', 'pntd.0012413.s003.xlsx', 'pntd.0012413.s008.xlsx']
