study_accession	sample_accession	field	ena_value	applied_value	method	evidence
PRJEB3255	SAMEA1711398	collection_date		1932	per_sample_two_hop	13073_2015_222_MOESM1_ESM.xlsx+13073_2015_222_MOESM7_ESM.xlsx via 370 shared IDs
PRJEB3255	SAMEA1711441	collection_date		1940	per_sample_two_hop	13073_2015_222_MOESM1_ESM.xlsx+13073_2015_222_MOESM7_ESM.xlsx via 370 shared IDs
PRJEB3255	SAMEA1711441	isolation_source		Sputum/pneumonia	per_sample_two_hop	13073_2015_222_MOESM1_ESM.xlsx+13073_2015_222_MOESM7_ESM.xlsx via 370 shared IDs
PRJEB3255	SAMEA1711406	collection_date		1940	per_sample_two_hop	13073_2015_222_MOESM1_ESM.xlsx+13073_2015_222_MOESM7_ESM.xlsx via 370 shared IDs
PRJEB3255	SAMEA1711406	isolation_source		Appendix abscess	per_sample_two_hop	13073_2015_222_MOESM1_ESM.xlsx+13073_2015_222_MOESM7_ESM.xlsx via 370 shared IDs
PRJEB3255	SAMEA1711424	collection_date		1940	per_sample_two_hop	13073_2015_222_MOESM1_ESM.xlsx+13073_2015_222_MOESM7_ESM.xlsx via 370 shared IDs
PRJEB3255	SAMEA1711461	collection_date		1941	per_sample_two_hop	13073_2015_222_MOESM1_ESM.xlsx+13073_2015_222_MOESM7_ESM.xlsx via 370 shared IDs
PRJEB3255	SAMEA1711461	isolation_source		Pneumonia	per_sample_two_hop	13073_2015_222_MOESM1_ESM.xlsx+13073_2015_222_MOESM7_ESM.xlsx via 370 shared IDs
PRJEB3255	SAMEA1711411	collection_date		1935	per_sample_two_hop	13073_2015_222_MOESM1_ESM.xlsx+13073_2015_222_MOESM7_ESM.xlsx via 370 shared IDs
PRJEB3255	SAMEA1572908	collection_date		1940	per_sample_two_hop	13073_2015_222_MOESM1_ESM.xlsx+13073_2015_222_MOESM7_ESM.xlsx via 370 shared IDs
PRJEB3255	SAMEA1572908	isolation_source		Bile in obstructive jaundice and cholestasis	per_sample_two_hop	13073_2015_222_MOESM1_ESM.xlsx+13073_2015_222_MOESM7_ESM.xlsx via 370 shared IDs
PRJEB3255	SAMEA1572905	collection_date		1940	per_sample_two_hop	13073_2015_222_MOESM1_ESM.xlsx+13073_2015_222_MOESM7_ESM.xlsx via 370 shared IDs
PRJEB3255	SAMEA1572905	isolation_source		Stool, same case as M296	per_sample_two_hop	13073_2015_222_MOESM1_ESM.xlsx+13073_2015_222_MOESM7_ESM.xlsx via 370 shared IDs
PRJEB3255	SAMEA2056910	collection_date		1940	per_sample_two_hop	13073_2015_222_MOESM1_ESM.xlsx+13073_2015_222_MOESM7_ESM.xlsx via 370 shared IDs
PRJEB3255	SAMEA2056910	isolation_source		Surgical wound in fection, same case as M295	per_sample_two_hop	13073_2015_222_MOESM1_ESM.xlsx+13073_2015_222_MOESM7_ESM.xlsx via 370 shared IDs
PRJEB3255	SAMEA1968457	collection_date		1949	per_sample_two_hop	13073_2015_222_MOESM1_ESM.xlsx+13073_2015_222_MOESM7_ESM.xlsx via 370 shared IDs
PRJEB3255	SAMEA1968457	isolation_source		Fatal pneumonia	per_sample_two_hop	13073_2015_222_MOESM1_ESM.xlsx+13073_2015_222_MOESM7_ESM.xlsx via 370 shared IDs
PRJEB3255	SAMEA2004061	collection_date		1946	per_sample_two_hop	13073_2015_222_MOESM1_ESM.xlsx+13073_2015_222_MOESM7_ESM.xlsx via 370 shared IDs
PRJEB3255	SAMEA2046730	collection_date		1940	per_sample_two_hop	13073_2015_222_MOESM1_ESM.xlsx+13073_2015_222_MOESM7_ESM.xlsx via 370 shared IDs
PRJEB3255	SAMEA2046730	isolation_source		Abdomen	per_sample_two_hop	13073_2015_222_MOESM1_ESM.xlsx+13073_2015_222_MOESM7_ESM.xlsx via 370 shared IDs
PRJEB3255	SAMEA2004869	collection_date		1940	per_sample_two_hop	13073_2015_222_MOESM1_ESM.xlsx+13073_2015_222_MOESM7_ESM.xlsx via 370 shared IDs
PRJEB3255	SAMEA2004870	collection_date		1949	per_sample_two_hop	13073_2015_222_MOESM1_ESM.xlsx+13073_2015_222_MOESM7_ESM.xlsx via 370 shared IDs
