ncbi_accession	paired_gcf_accession	ncbi_assembly_level	ncbi_assembly_status	ncbi_sequencing_tech	ncbi_assembly_method	ncbi_refseq_category	ncbi_genome_notes	ncbi_genome_size	ncbi_n_scaffolds	ncbi_scaffold_n50	ncbi_scaffold_l50	ncbi_n_contigs	ncbi_contig_n50	ncbi_contig_l50	ncbi_genome_coverage	ncbi_gc_percent	ncbi_n_chromosomes	ncbi_completeness	ncbi_contamination	ncbi_taxonomy_check	ncbi_ani_match_status	lookup_accession
GCA_000783935.2	GCF_000783935.2	Complete Genome	current	PacBio; Illumina	HGAP v. 2	reference genome		5823931	3	5489763	1	3	5489763	1	355.059	55.5	3.0	99.38	1.63	OK	species_match	GCA_000783935
GCA_002156745.1	GCF_002156745.1	Complete Genome	current	PacBio	HGAP v. v2			5965284	6	5591645	1	6	5591645	1	201	56.5	6.0	98.81	0.71	OK	derived_species_match	GCA_002156745
GCA_001702045.2	GCF_001702045.2	Complete Genome	current	Illumina MiSeq/ ONT MinION	Unicycler v. 0.3.1			5992634	6	5466424	1	6	5466424	1	67	57.0	6.0	98.84	0.45	OK	derived_species_match	GCA_001702045
GCA_001887985.4	GCF_001887985.4	Complete Genome	current	Illumina HiSeq; MinION	Unicycler v. 0.4.3			5632871	4	5461116	1	4	5461116	1	200	57.5	4.0	98.81	0.21	OK	derived_species_match	GCA_001887985
GCA_000364385.3	GCF_000364385.3	Complete Genome	current	PacBio; Illumina	readStepper-assisted revision of previous Newbler assembly v. MAY-2015			5781501	5	5435746	1	5	5435746	1	85	57.0	5.0	98.93	1.35	OK	derived_species_match	GCA_000364385
GCA_001922465.1	GCF_001922465.1	Complete Genome	current	PacBio RSII	HGAP v. 2.3			5779484	4	5435743	1	4	5435743	1	109	57.0	4.0	98.9	1.35	OK	derived_species_match	GCA_001922465
GCA_001701835.2	GCF_001701835.2	Complete Genome	current	Illumina MiSeq/ ONT MinION	Unicycler v. 0.3.1			5843511	6	5426917	1	6	5426917	1	101	57.0	6.0	98.9	0.48	OK	derived_species_match	GCA_001701835
GCA_001908515.1	GCF_001908515.1	Complete Genome	current	PacBio	HGAP v. unspecified			5752260	7	5424949	1	7	5424949	1	170	57.0	7.0	98.55	1.95	OK	derived_species_match	GCA_001908515
GCA_002056475.1	GCF_002056475.1	Complete Genome	current	PacBio RSII	canu v. 1.3			5708390	5	5407749	1	5	5407749	1	210	57.0	5.0	99.07	0.19	OK	derived_species_match	GCA_002056475
GCA_001022235.1	GCF_001022235.1	Complete Genome	current	PacBio	HGAP3 v. 2.2.0			5620516	5	5402147	1	5	5402147	1	90	57.0	5.0	98.78	0.19	OK	derived_species_match	GCA_001022235
GCA_001701845.2	GCF_001701845.2	Complete Genome	current	Illumina MiSeq/ ONT MinION	Unicycler v. 0.3.1			5674561	5	5395894	1	5	5395894	1	115	57.0	5.0	98.98	0.28	OK	derived_species_match	GCA_001701845
GCA_001675125.1	GCF_001675125.1	Complete Genome	current	PacBio RSII	SMRT Portal v. 2.3			5681468	4	5393897	1	4	5393897	1	152	57.0	4.0	98.79	0.19	OK	derived_species_match	GCA_001675125
GCA_001870165.1	GCF_001870165.1	Complete Genome	current	PacBio	HGAP v. unspecified			5597109	4	5387681	1	4	5387681	1	92	57.5	4.0	98.59	0.86	OK	derived_species_match	GCA_001870165
GCA_002113865.1	GCF_002113865.1	Complete Genome	current	PacBio	HGAPv3 v. FEB-2017			6081126	5	5380605	1	5	5380605	1	190	56.5	5.0	99.07	1.2	OK	derived_species_match	GCA_002113865
GCA_001663435.1	GCF_001663435.1	Complete Genome	current	PacBio RSII	SMRT Portal v. 2.2			5536135	2	5365209	1	2	5365209	1	159	57.0	2.0	98.29	0.84	OK	derived_species_match	GCA_001663435
GCA_002055855.1	GCF_002055855.1	Complete Genome	current	PacBio RSII	HGAP v. 2.3			5884778	4	5357430	1	4	5357430	1	220	56.5	4.0	98.56	1.53	OK	derived_species_match	GCA_002055855
GCA_001648215.1	GCF_001648215.1	Complete Genome	current	PacBio RSII	SMRT Portal v. 2.3			5566588	4	5353110	1	4	5353110	1	200	57.0	4.0	98.55	1.47	OK	derived_species_match	GCA_001648215
GCA_001663295.1	GCF_001663295.1	Complete Genome	current	PacBio RSII	HGAP v. 2			5779669	4	5351509	1	4	5351509	1	120	57.0	4.0	98.81	0.98	OK	derived_species_match	GCA_001663295
GCA_002056385.1	GCF_002056385.1	Complete Genome	current	PacBio RSII	canu v 1.3			5666107	5	5351479	1	5	5351479	1	196	57.0	5.0	98.74	0.19	OK	derived_species_match	GCA_002056385
GCA_002055765.1	GCF_002055765.1	Complete Genome	current	PacBio RSII	HGAP v. 2.3			5838292	6	5345997	1	6	5345997	1	201	57.0	6.0	97.63	0.92	OK	species_match	GCA_002055765
GCA_001185665.3	GCF_001185665.2	Complete Genome	current	Illumina; Oxford Nanopore	Unicycler v. v0.4.3			5969148	6	5343186	1	6	5343186	1	189	57.0	6.0	99.27	1.86	OK	derived_species_match	GCA_001185665
GCA_001709275.1	GCF_001709275.1	Complete Genome	current	PacBio	HGAP v. v. 3			5805603	5	5341571	1	5	5341571	1	139	57.0	5.0	98.49	1.47	OK	derived_species_match	GCA_001709275
GCA_001663455.1	GCF_001663455.1	Complete Genome	current	PacBio RSII	SMRT Portal v. 2.2			5730336	4	5336571	1	4	5336571	1	91	57.0	4.0	98.29	0.86	OK	derived_species_match	GCA_001663455
GCA_001022035.1	GCF_001022035.1	Complete Genome	current	PacBio	HGAP3 v. 2.2.0			5552491	4	5328319	1	4	5328319	1	49	57.5	4.0	98.81	0.39	OK	derived_species_match	GCA_001022035
GCA_001902255.1	GCF_001902255.1	Complete Genome	current	PacBio	HGAP v. unspecified			5594981	4	5327855	1	4	5327855	1	129	57.0	4.0	98.94	0.19	OK	derived_species_match	GCA_001902255
GCA_001456135.1	GCF_001456135.1	Complete Genome	current	PacBio	HGAP v. 2.3.0			5874698	6	5319154	1	6	5319154	1	48	57.0	6.0	98.49	0.84	OK	derived_species_match	GCA_001456135
GCA_001718115.2	GCF_001718115.2	Complete Genome	current	Oxford Nanopore PromethION; Illumina MiSeq	unicycler v. 0.4.7			5766661	9	5284160	1	9	5284160	1	100	56.5	9.0	98.68	0.89	OK	derived_species_match	GCA_001718115
GCA_001022175.1	GCF_001022175.1	Complete Genome	current	PacBio	HGAP3 v. 2.3.0			5810009	6	5262013	1	6	5262013	1	98	57.0	6.0	98.47	0.84	OK	derived_species_match	GCA_001022175
GCA_001887995.2	GCF_001887995.2	Complete Genome	current	Illumina HiSeq; MinION	Unicycler v. 0.4.6			5461882	4	5239924	1	4	5239924	1	200	57.5	4.0	98.46	1.59	OK	derived_species_match	GCA_001887995
GCA_001709295.1	GCF_001709295.1	Complete Genome	current	PacBio	HGAP v. v. 3			5483848	4	5236925	1	4	5236925	1	137	57.0	4.0	98.66	0.75	OK	derived_species_match	GCA_001709295
GCA_001936035.1	GCF_001936035.1	Complete Genome	current	PacBio RSII	SMRT Portal v. 2.2			5387970	2	5229229	1	2	5229229	1	126	57.5	2.0	98.71	0.71	OK	derived_species_match	GCA_001936035
GCA_001704235.1	GCF_001704235.1	Complete Genome	current	PacBio	HGAP v. 3			5558458	3	5184828	1	3	5184828	1	143	57.5	3.0	97.3	1.43	OK	derived_species_match	GCA_001704235
GCA_001701425.2	GCF_001701425.2	Complete Genome	current	Illumina MiSeq/ ONT MinION	Unicycler v. 0.3.1			5760711	6	5181675	1	6	5181675	1	215	57.0	6.0	98.03	1.33	OK	derived_species_match	GCA_001701425
GCA_001316565.3	GCF_001316565.3	Complete Genome	current	PacBio	HGAP v. V3			5846356	3	5498599	1	3	5498599	1	206	57.0	3.0	98.28	0.99	OK	subspecies_match	GCA_001316565
GCA_000714675.1	GCF_000714675.1	Complete Genome	current	Pacific Biosciences RS II	HGAP v. 2			5734564	4	5396164	1	4	5396164	1	173	57.0	4.0	99.03	0.19	OK	derived_species_match	GCA_000714675
GCA_000281435.2	GCF_000281435.2	Complete Genome	current	Pacific Biosciences RS II	HGAP v. 2			5767822	4	5395263	1	4	5395263	1	160	57.0	4.0	99.07	0.19	OK	derived_species_match	GCA_000281435
GCA_000281535.2	GCF_000281535.2	Complete Genome	current	Pacific Biosciences RS II	HGAP v. 2			5766615	4	5394056	1	4	5394056	1	96	57.0	4.0	99.07	0.19	OK	derived_species_match	GCA_000281535
GCA_000417225.2	GCF_000417225.2	Complete Genome	current	PacBio RS	HGAP v. 3			5710688	4	5393855	1	4	5393855	1	10.02	57.0	4.0	99.07	0.19	OK	derived_species_match	GCA_000417225
GCA_000417265.2	GCF_000417265.2	Complete Genome	current	PacBio RS	HGAP v. 3			5523776	4	5322270	1	4	5322270	1	17.32	57.5	4.0	98.94	0.19	OK	derived_species_match	GCA_000417265
GCA_000717515.1	GCF_000717515.1	Complete Genome	current	Pacific Biosciences RS II	HGAP v. 2			5436785	3	5309305	1	3	5309305	1	170	57.5	3.0	98.68	0.19	OK	derived_species_match	GCA_000717515
GCA_000406765.2	GCF_000406765.2	Complete Genome	current	PacBio RS	HGAP v. 3			5547643	5	5308211	1	5	5308211	1	15.35	57.5	5.0	98.94	0.19	OK	derived_species_match	GCA_000406765
GCA_000695935.1	GCF_000695935.1	Complete Genome	current	Pacific Biosciences RS II	HGAP v. 2			6132443	6	5241638	1	6	5241638	1	116	56.5	6.0	98.45	3.31	OK	derived_species_match	GCA_000695935
GCA_001559215.2	GCF_001559215.2	Complete Genome	current	PacBio; Illumina	HGAP3 v. Oct 2014			5317141	1	5317141	1	1	5317141	1	334.736	55.0	1.0	95.69	3.91	OK	species_match	GCA_001559215
GCA_001593585.2	GCF_001593585.2	Complete Genome	current	PacBio; Illumina	Celera v. 8.2			5297800	2	5215793	1	2	5215793	1	453.738	55.0	2.0	96.3	3.98	OK	species_match	GCA_001593585
GCA_001870185.1	GCF_001870185.1	Complete Genome	current	PacBio	HGAP v. unspecified			6582387	6	6155924	1	6	6155924	1	120	54.5	6.0	99.04	1.36	OK	species_match	GCA_001870185
GCA_001316945.3	GCF_001316945.3	Chromosome	current	PacBio	HGAP v. V3			5953925	5	5497952	1	5	5497852	1	206	57.0	5.0	98.16	1.75	OK	subspecies_match	GCA_001316945
GCA_001471835.2	GCF_001471835.2	Contig	current	PacBio; Illumina	Celera v. 8.2			5980029	8	5428252	1	8	5428252	1	335	57.0		98.86	0.54	OK	derived_species_match	GCA_001471835
GCA_001471625.2	GCF_001471625.1	Contig	current	PacBio; Illumina	Celera v. 8.2			5594695	3	5424227	1	3	5424227	1	270	57.0		98.76	0.19	OK	derived_species_match	GCA_001471625
GCA_000783515.2	GCF_000783515.2	Contig	current	PacBio; Illumina	HGAP v. 2			5546838	3	5333751	1	3	5333751	1	335	57.5		98.61	1.19	OK	derived_species_match	GCA_000783515
GCA_001874715.1	GCF_001874715.1	Contig	current	PacBio	HGAP v. 3			5737283	8	5234104	1	8	5234104	1	157	56.5		98.4	2.04	OK	derived_species_match	GCA_001874715
GCA_001534855.2	GCF_001534855.2	Contig	current	PacBio; Illumina	HGAP3 v. Oct 2014			5584592	5	5151664	1	5	5151664	1	386	57.0		98.0	1.46	OK	species_match	GCA_001534855
GCA_001874725.1	GCF_001874725.1	Contig	current	PacBio	HGAP v. 3			5894793	12	4805623	1	12	4805623	1	85	57.0		98.78	0.22	OK	derived_species_match	GCA_001874725
