study_accession	gap_samples	gap_fields	fulltext_source	paywalled	per_sample_fills	mech_reason	supp_present	has_per_sample_table	table_fields	accession_keyed	table_reference	action	evidence_quote	pmcid	doi	save_as
PRJEB50270	192	collection_date,country,host,isolation_source	europepmc_fulltext	False	0	unanchored	False	no		no		SKIP	Datasets included long and short reads sampled from 1,680 microbial genomes and 599 circular elements (Methods and Supplementary Table 1).	PMC9007738	10.1038/s41592-022-01431-4	PRJEB50270.xlsx
PRJNA552297	180	collection_date,country,host,isolation_source	europepmc_fulltext	False	0	manifest_only	False	no		yes	Table S9	SKIP	The WGS data have been deposited in the SRA database, and the accession numbers are listed in Table S9.	PMC6867876	10.1128/msystems.00465-19	PRJNA552297.xlsx
PRJEB36919	164	collection_date,country,host,isolation_source	none	True	0	NO_PMCID	False	no_text				NO_PAPER				PRJEB36919.xlsx
PRJEB5132	128	collection_date,country,host,isolation_source	none	True	0	NO_PMCID	False	no_text				NO_PAPER				PRJEB5132.xlsx
PRJEB60478	123	collection_date,country,isolation_source	europepmc_fulltext	False	0	unanchored	False	likely	isolation_source	unclear	Supplementary Table A	OA_INVESTIGATE	No correlations between sequence types and isolation sources were observed (Supplementary Table A).	PMC8060595	10.1016/j.csbj.2021.03.027	PRJEB60478.xlsx
PRJEB14100	100	collection_date,country,host,isolation_source	europepmc_fulltext	False	0	unanchored	False	yes	isolation_source,host,collection_date	yes	Supplementary Table 2	OA_INVESTIGATE	Anonymized clinical metadata have been made available in Supplementary Table 2.	PMC10234813	10.1038/s41564-023-01385-z	PRJEB14100.xlsx
PRJEB9147	100	collection_date,country,host,isolation_source	europepmc_fulltext	False	0	no_supp	False	no		no		SKIP	We have described recent refinements to the TraDIS method for the sequencing and analysis of dense transposon libraries.	PMC4896371	10.1093/bioinformatics/btw022	PRJEB9147.xlsx
PRJEB14854	93	collection_date,host,isolation_source	europepmc_fulltext	False	0	no_supp	False	yes	isolation_source,host,collection_date	yes	Supplementary Table S1	OA_INVESTIGATE	Sequences new to this project can be found under projects PRJEB20809 and PRJEB14854 with accession numbers for each isolate detailed in Supplementary Table S1.	PMC13148723	10.1099/mgen.0.001654	PRJEB14854.xlsx
PRJNA922161	92	host,isolation_source	europepmc_fulltext	False	0	no_supp	False	no		no		SKIP	Klebsiella pneumoniae American Type Culture Collection (ATCC) strain 43816 was first grown on cation-adjusted Mueller–Hinton Broth 2 (MHB2) agar medium	PMC9862994	10.3390/pharmaceutics15010270	PRJNA922161.xlsx
PRJNA1092662	88	collection_date,host,isolation_source	none	True	0	NO_PMCID	False	no_text				NO_PAPER				PRJNA1092662.xlsx
PRJNA1092272	84	host,isolation_source	europepmc_fulltext	False	0	no_supp	False	likely	isolation_source,host,collection_date	yes	Supplementary dataset 2	OA_INVESTIGATE	Sequence data have been deposited in NCBI (BioProject accessions PRJNA768622, PRJNA514245; Supplementary dataset 2).	PMC11369815	10.1093/jacamr/dlae140	PRJNA1092272.xlsx
PRJNA1000963	80	collection_date,isolation_source	europepmc_fulltext	False	0	unanchored	False	no		no		SKIP	Among the 1,071 patient strains isolated, 82 were from colonized patients included at the end of April 2018; these samples did not arrive at the central laboratory in time for genotyping.	PMC8084501	10.3201/eid2705.203662	PRJNA1000963.xlsx
PRJNA292902	78	collection_date,country,isolation_source	none	True	0	NO_PMCID	False	no_text				NO_PAPER				PRJNA292902.xlsx
PRJEB6688	76	country,isolation_source	europepmc_fulltext	False	0	no_supp	False	yes	isolation_source,collection_date	yes	Table S1 (http://bigsdb.web.pasteur.fr/klebsiella/archives/Bialek_TechnicalAppendix.pdf)	OA_INVESTIGATE	supported by the clinical origin of some isolates of these STs (Table S1, http://bigsdb.web.pasteur.fr/klebsiella/archives/Bialek_TechnicalAppendix.pdf)	PMC4214299	10.3201/eid2011.140206	PRJEB6688.xlsx
PRJEB56212	72	collection_date,isolation_source	europepmc_fulltext	False	0	no_supp	False	likely	isolation_source	yes	Table 3	OA_INVESTIGATE	Table 3 summarizes data on ST, capsule typing, major virulence genes, and replicon typing.	PMC9960421	10.3390/microorganisms11020525	PRJEB56212.xlsx
PRJEB73547	62	host,isolation_source	none	True	0	NO_PMCID	False	no_text				NO_PAPER				PRJEB73547.xlsx
PRJNA552385	60	host,isolation_source	local_pdf	True	0	no_supp	False	no		no		SKIP	All sequencing data pertaining to this project have been made available at the National Center for Biotechnology Information (SRA accession number PRJNA552385).	PMC8049106	10.1038/s41559-020-1170-1	PRJNA552385.xlsx
PRJEB44852	58	collection_date,isolation_source	pdf	True	0	NO_PMCID	False	likely	isolation_source	yes	Table 2	FETCH_SUPP	Cluster 1 and Cluster 2 contained isolates from various hospitals in different cities carrying different carbapenemases, whereas Cluster 3 consisted of isolates exclusively from one hospital in Saudi Arabia. Even within the same cgMLST cluster, see Cluster C1 isolates from Hospital G in Abu Dhabi, Table 2.		10.1007/s10096-021-04384-2	PRJEB44852.xlsx
PRJNA508406	58	collection_date,isolation_source	europepmc_fulltext	False	0	no_supp	False	no		no	Supplementary Table S1	SKIP	Whole genome sequencing was performed at different centers (Supplementary Table S1).	PMC8072773	10.3390/ph14040370	PRJNA508406.xlsx
PRJNA292904	54	collection_date,isolation_source	pdf	True	0	no_supp	False	no		no		SKIP	Raw sequencing reads and MIC data were deposited under BioProject accession number PRJNA292904 (BioSamples SAMN04014873 to SAMN04014952).	PMC5442553	10.1128/jcm.00244-17	PRJNA292904.xlsx
