study_accession	study_type	study_type_excluded	paper_records_in_taxon	paper_coverage_for_taxon	needs_manual_download	fulltext_source	is_full_text	grade_context_chars	full_text_would_help	model	study_setting__value	study_setting__grade	amr_study__value	amr_study__grade	amr_target__value	amr_target__grade	amr_method__value	amr_method__grade	cohort_age__value	cohort_age__grade	backfill_country__value	backfill_country__whole_project	backfill_isolation_source__value	backfill_isolation_source__whole_project	backfill_host__value	backfill_host__whole_project	backfill_collection_date__value	backfill_collection_date__whole_project
PRJNA788733	observational	False	95	0.0638	False	europepmc_fulltext	True	50000	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	United Kingdom	True		False	human	True		False
PRJEB56918	observational	False			False	europepmc_fulltext	True	23134	False	claude-sonnet-4-6	mixed	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	human	True	2020-07-01	True
PRJNA353728	observational	False			False	none	False	0	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA797179	observational	False	330	0.844	False	local_pdf	True	40571	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	other	gradeable	ast_result	gradeable	mixed	gradeable	Australia	True		False	human	True		False
PRJEB12888	observational	False			True	none	False	0	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable		not_gradeable	newborn_young_child	gradeable		False		False	human	True		False
PRJEB39567	observational	False			False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Italy	True		False	human	True	2020-05-01	True
PRJEB8667	observational	False			False	none	False	0	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable	Nigeria	True		False		False		False
PRJEB54810	experimental_evolution	True			False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJEB63210	experimental_evolution	True			False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA411762	observational	False	48	0.3057	False	europepmc_fulltext	True	32255	False	claude-sonnet-4-6	hospital	gradeable	amr	partial	carbapenem	partial	pcr_gene_presence	partial		not_gradeable	USA	True		False		False		False
PRJNA674961	observational	False	328	2.1579	False	europepmc_fulltext	True	73221	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	adult	gradeable	Australia	True	urine	False	human	True	2013-09-30	True
PRJDB6407	observational	False	19	0.1348	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	hospital	partial	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Vietnam	True		False	human	True		False
PRJNA949653	observational	False			False	none	False	0	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable		False	wastewater	True	wastewater	True		False
PRJNA397262	observational	False	131	1.0	False	europepmc_fulltext	True	50000	False	claude-sonnet-4-6	mixed	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable	adult	gradeable	Australia	True	urine	False	human	True		False
PRJNA725484	observational	False	117	0.8931	False	europepmc_fulltext	True	10000	False	claude-sonnet-4-6	mixed	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable	adult	gradeable	Italy	True	rectal swab	False	human	True	2019-12-17	True
PRJEB21132	other	False			False	none	False	0	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJDB11378	observational	False			True	none	False	0	False	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Japan	True		False	human	True		False
