study_accession	none_found	chosen_pmid	chosen_pmcid	chosen_doi	chosen_found_via	find_confidence	verified	sources_agreeing	coverage_estimate	coverage_fraction	shared_accession	umbrella	data_reuse_only	n_candidates	chosen_title
PRJNA591480	False	33266320	PMC7761178	10.3390/microorganisms8121909	ncbi_bioproject	high	False	1	98.0	1.0	False	False	False	1	Antibiotic Sensitivity Screening of <i>Klebsiella</i> spp. and <i>Raoultella</i> spp. Isolated from Marine Bivalve Molluscs Reveal Presence of CTX-M-Producing <i>K. pneumoniae</i>.
PRJNA641536	True					high		0			False	False	False	1	
PRJNA757198	False	35394416	PMC9453077	10.1099/mgen.0.000808	europepmc_accession,ncbi_bioproject	high	True	2	97.0	1.0	False	False	False	1	Dissemination of a single ST11 clone of OXA-48-producing <i>Klebsiella pneumoniae</i> within a large polyclonal hospital outbreak determined by genomic sequencing.
PRJEB35890	False	32458791	PMC7262493	10.2807/1560-7917.es.2020.25.20.2000627	europepmc_accession	high	True	1	143.0	1.4896	False	False	False	2	Cross-border spread of <i>bla</i><sub>NDM-1</sub>- and <i>bla</i><sub>OXA-48</sub>-positive <i>Klebsiella pneumoniae</i>: a European collaborative analysis of whole genome sequencing and epidemiological data, 2014 to 2019.
PRJEB50277	False	35470020		10.1016/j.ijid.2022.04.034	web_search	high		1	96.0	1.0	False	False	False	1	The first nationwide surveillance of carbapenem-resistant Enterobacterales in the United Arab Emirates - increased association of Klebsiella pneumoniae CC14 clone with Emirati patients.
PRJNA351846	False	30867330	PMC6416368	10.1128/msphere.00685-18	europepmc_accession	high	True	1	95.0	1.0	False	False	False	3	Emergence of New Delhi Metallo-β-Lactamase (NDM-5) in <i>Klebsiella quasipneumoniae</i> from Neonates in a Nigerian Hospital.
PRJEB64408	False		PMC11101633		europepmc_accession	high	False	1	95.0	1.0	False	False	False	1	Genomic insights unveil the plasmid transfer mechanism and epidemiology of hypervirulent Klebsiella pneumoniae in Vietnam
PRJEB39942	False	33416467	PMC8190614	10.1099/mgen.0.000509	europepmc_accession,europepmc_secondary	high	True	2	95.0	1.0	False	False	False	1	A high prevalence of <i>bla</i><sub>OXA-48</sub> in <i>Klebsiella</i> (<i>Raoultella</i>) <i>ornithinolytica</i> and related species in hospital wastewater in South West England.
PRJEB9325	False	34424159	PMC8549359	10.1099/mgen.0.000613	europepmc_secondary,web_search	medium	True	2	70.0	0.7527	False	False	False	2	Genomic insights into the diversity, virulence and resistance of <i>Klebsiella pneumoniae</i> extensively drug resistant clinical isolates.
PRJNA395864	False	29951041	PMC5996243	10.3389/fmicb.2018.01197	europepmc_accession	high	True	1	93.0	1.0	True	False	False	3	Transmission Dynamics of Hyper-Endemic Multi-Drug Resistant &lt;i&gt;Klebsiella pneumoniae&lt;/i&gt; in a Southeast Asian Neonatal Unit: A Longitudinal Study With Whole Genome Sequencing.
