paper_title,paper_short_title,paper_link,Curator,kleb_assemblies_in_paper,isolates_in_study,study_accessions,sample_selection,death_metadata,newborn_cohort,ATB_location_prop,ATB_collection_date_prop,ATB_isolation_source_prop,ATB_host_prop,location_added,date_added,source_added,host_added,Outstanding issues with ready_to_merge file or checks of data,completeness_post_collation,metadata to check,Andres_to_chase,Free-text comments,has_AST_data,Isolation source details
"Genomics for Molecular Epidemiology and Detecting Transmission of Carbapenemase-Producing Enterobacterales in Victoria, Australia, 2012 to 2016",australian_cpe_surveillance,https://pmc.ncbi.nlm.nih.gov/articles/PMC6711911/,Aaron,456,1252,PRJNA529744,AMR plus control,,"Mostly adults, median age of 68 years",1,1,0.55,1,,,,,,,,,no AST data; no fine-grain geographic data,CPE but just 50% phenotypic susceptibility,hospital surveillance in Victoria
Klebsiella pneumoniae and Klebsiella quasipneumoniae define the population structure of blaKPC-2Klebsiella: a 5 year retrospective genomic study in Singapore,blakpc_singapore,https://pubmed.ncbi.nlm.nih.gov/31504571/,Aaron,157,157,PRJNA547865,AMR,,patient age not provided,1,1,1,1,,,,,,,,,Study not mentioned in paper but title matches,CPE,Public health laboratory
Genomic surveillance of Escherichia coli and Klebsiella spp. in hospital sink drains and patients,ratcliffe_hospital_sink_drains,https://pmc.ncbi.nlm.nih.gov/articles/PMC7478627/ https://microreact.org/project/OXJOs8VMV,Aaron,264,264,PRJNA604910,surveillance,,patient age not provided,1,1,1,0.02,,,,,Samples from missing hosts are environmental.,,,,Add sink isolate information,no,"mostly sink isolates; acute admission, adult critical care, adult general medicine and plumbing"
Regional Spread of blaNDM-1-Containing Klebsiella pneumoniae ST147 in Post-Acute Care Facilities,chigago_cpe_ndm,,Aaron,486,486,PRJNA686897,AMR,,Adults ~ 60 years old; age data are available in table 1,1,0.89,0.89,1,,,,,,,,,Large ST147 outbreak,CPE plus NDM focus (ST147 outbreak suspected),
Whole genome sequencing reveals hidden transmission of carbapenemase-producing Enterobacterales,singapore_cpe_surveillance,https://www.nature.com/articles/s41467-022-30637-5#MOESM1,Aaron,375,532,PRJNA757551,AMR,,"Mostly adults, median age of 68 years",1,0,0,0,,FALSE,FALSE,TRUE,"Lost 100% of collection date in ready to merge file: set ""not collected"" to NA - ALL SAMPLES WERE FROM PATIENTS AND BETWEEN SEP 2010 and APR 2015 - Did not use midpoint as range to large.",,,possibly,"Not stated where the isolates were isolated from and collection data is ""Not collected""; publicatoin says says 2010-2015",CPE suspected,
Combined comparative genomics and clinical modeling reveals plasmid-encoded genes are independently associated with Klebsiella infection,michigan_matched_colonising_infecting,https://www.nature.com/articles/s41467-022-31990-1,Aaron,330,"85 cases, 160 controls",PRJNA789565,AMR plus control,,Adults ~ 60 years old; age data are available in table 1,1,1,1,1,,,,,,,,,"matched case; control colonising vs infecting study; ""clinical sample"" isolation_source in are infecting isolates, i.e. blood or respiratory and detailed in supplementary table 1; needs to be matched with sample name",,hospital Michigan Ann Arbor
Unpublished,nevada_health_lab,,Aaron,289,1345,PRJNA857686,AMR,,unclear,0.72,1,0.84,0.86,TRUE,,,TRUE,Set missing host to human and missing country to US/Nevada.,,,,Nevada; mostly just unspecific isolation source: human,Likely CPE,
bla OXA-48-like genome architecture among carbapenemase-producing Escherichia coli and Klebsiella pneumoniae in the Netherlands Open Access;,dutch_cpe_surveillance,https://www.microbiologyresearch.org/content/journal/mgen/10.1099/mgen.0.000512. https://www.nature.com/articles/s41598-020-73440-2,Aaron,167,307,PRJEB42331,AMR,,patient age not provided,1,0,0,,,,,,ONLY 80 SAMPLES IN ATB,,,maybe to obtain isolation source and city level data,paired with PRJEB35685 and PRJNA634885; supplementary table with collection date and meropenem AST but no isolation source,blaOxa48-like/CPE,Medical microbiology labs
"Geographical distribution, disease association and diversity of Klebsiella pneumoniae K/L and O antigens in India: roadmap for vaccine development",indian_cpe_surveillance,https://pmc.ncbi.nlm.nih.gov/articles/PMC11316559/,Aaron/David,400,1072,"PRJEB50614,PRJEB29740",AMR plus control,,"Neonate, children, and adults; sample level age data are available in table S1",0.98,0,0.97,0,,TRUE,FIXED,TRUE,DA re-fixed metadata file,,,,Paired with PRJEB29740; Microreact data can be matched via sample name; also age group available and AST data; fine grain geographical resolution,"mostly cpe, 123 susceptible, 43 just ESBL",38 different hospitals
Also on Pathogenwatch; Genomic investigation of a suspected Klebsiella pneumoniae outbreak in a neonatal care unit in sub-Saharan Africa,subsaharan_neonatal_outbreak,https://www.microbiologyresearch.org/content/journal/mgen/10.1099/mgen.0.000703,Aaron,16,16,PRJNA641987,NaN,Includes mortality,neonatal BSI (62) and paediatric (n=32),,,,NA,,,,,ONLY 16 SAMPLES IN ATB,,,,,,
"Ten-year longitudinal molecular epidemiology study of¬†Escherichia coli¬†and¬†Klebsiella¬†species bloodstream infections in Oxfordshire, UK",oxfordshire_bsi_surveillance,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-021-00947-2#availability-of-data-and-materials,Aaron,,886,PRJNA604975,surveillance,,"Age data partially available, mostly adults ~ 60 years",0,0,0,0,TRUE,TRUE,TRUE,TRUE,ONLY 24 SAMPLES IN ATB - MOST ARE BEING DISCARDED!!,,,Perhaps for me to contact Sam Lipworth to ask about collection date and clarify isolation source,age group available; Assumed that all non-specified samples were isolated from blood. Why is this not in ATB? It's mostly single-end sequencing,,
Characterization of antimicrobial-resistant Gram-negative bacteria that cause neonatal sepsis in seven low- and middle-income countries,,https://www.nature.com/articles/s41564-021-00870-7#data-availability,Kristina/Aaron,271,393,PRJEB33565,Surveilance,,neonatal sepsis,1,1,0,0,,,TRUE,TRUE,Metadata missing: added merge file; all samples are blood cultures and from human; it's overlapping with the Neonates meta-study,,,,,,
Evolution of Outbreak-Causing Carbapenem-Resistant Klebsiella pneumoniae ST258 at a Tertiary Care Hospital over 8 Years,,https://journals.asm.org/doi/10.1128/mbio.01945-19#tabS1,Kristina,136,293,PRJNA475751,AMR,,patient age not provided,1,1,0.96,1,,,,,,,,,,,
Activity of imipenem/relebactam and comparators against KPC-producing Klebsiella pneumoniae and imipenem-resistant Pseudomonas aeruginosa,,https://pmc.ncbi.nlm.nih.gov/articles/PMC10917868/#Sec11,Kristina,not found,177,PRJNA1048341,AMR,,patient age not provided,1,1,1,1,,,,,,,,,,,
Activity of imipenem/relebactam and comparators against KPC-producing Klebsiella pneumoniae and imipenem-resistant Pseudomonas aeruginosa,,https://pubmed.ncbi.nlm.nih.gov/38157139/,Kristina,not found,156,PRJNA278886,AMR,,patient age not provided,0.83,0.83,0.83,0.83,,,,,lost 100% of collection dates in ready to merge file,,,,,,
Could not find,,,Kristina,,143,PRJNA1133624,Surveilance,,"unclear, no publication",1,1,1,1,,,,,,,,,,,
Assessment of three antibiotic combination regimens against Gram-negative bacteria causing neonatal sepsis in low- and middle-income countries,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11087563/,Kristina,,135,PRJNA1087366,AMR,,neonatal sepsis,0,0,0,0,,,,,,,,,,,
"Limited Evidence of Spillover of Antimicrobial-Resistant Klebsiella pneumoniae from Animal/Environmental Reservoirs to Humans in Vellore, India",,https://pmc.ncbi.nlm.nih.gov/articles/PMC11652666/#MOESM6,Kristina/David,331,112,PRJEB58136,Surveilance,,animal/environmental samples only,1,1,0.94,0,,,TRUE,TRUE,Ready to merge done (112 ATB samples vs ENA 330),,,,,,
"Emergence of OXA-48-producing Klebsiella pneumoniae in Lithuania, 2023: a multi-cluster, multi-hospital outbreak",,https://pmc.ncbi.nlm.nih.gov/articles/PMC11027475/,Kristina,106,106,PRJEB74083,AMR,,"Adults, range 29-97 years old, summarized in text, sample level age info not available",1,1,0,0,,,,,,,,,,,
Epidemic of carbapenem-resistant Klebsiella pneumoniae in Europe is driven by nosocomial spread,CPK nosocomial Europe,https://www.nature.com/articles/s41564-019-0492-8,Kristina,,2227,PRJEB10018,,,patient age not provided,0.77,0.77,,0.77,,,,,,,,,,,
Could not find study,,,Kristina,,160,PRJEB12699,,,"unclear, no publication",0,0,0,0,,,,,,,,,,,
Centre-specific bacterial pathogen typing affects infection-control decision making,cenre-sepcific typing,https://pmc.ncbi.nlm.nih.gov/articles/PMC8549354/#sec27,Kristina,,288,PRJEB15226,,,patient age not provided,1,0.25,0,1,,,,,,,,,,,
Published on Pathogenwatch,,https://pathogen.watch/collection/klebnet-neonatal-sepsis,Kristina,,356,PRJEB20799,,,part Pathogenwatch neonatal collection,,,,NA,,,,,ONLY 44 samples in ATB,,,,,,
"A Point Prevalence Survey of Antibiotic Resistance in the Irish Environment, 2018–2019",Irish point prevelence,https://www.sciencedirect.com/science/article/pii/S016041202100091X?via%3Dihub#t0010,Kristina,,192,PRJEB21277,,,"No human data, sewage samples only",0,0,0,0,,,,,,,,,,,
Could not find study,,,Kristina,,261,PRJEB22903,,,"unclear, no publication",0,1,0,0,,,,,,,,,,,
Transmission dynamics and control of multidrug-resistant Klebsiella pneumoniae in neonates in a developing country,MDR neonates,https://pmc.ncbi.nlm.nih.gov/articles/PMC6977969/#_ad93_,Kristina,,224,PRJEB24970,,,neonatal,1,1,1,1,,,,,,,,,,,
A nationwide genomic study of clinical Klebsiella pneumoniae in Norway 2001-15: introduction and spread of ESBLs facilitated by clonal groups CG15 and CG307,Norway 2001-15,https://pmc.ncbi.nlm.nih.gov/articles/PMC8865009/#sec6,Kristina,,885,PRJEB27256,,,patient age not provided,0.99,0.99,0.99,0.03,,,,,,,,,,,
Could not find study,,,Kristina,,326,PRJEB28054,,,"unclear, no publication",0,0,0,0,,,,,,,,"Sanger study, prepublication release to ENA from Sanger",,,
Long-read sequencing reveals genomic diversity and associated plasmid movement of carbapenemase-producing bacteria in a UK hospital over 6 years,long_read_CPE,https://pmc.ncbi.nlm.nih.gov/articles/PMC10438816/,David,,200,PRJEB30134,AMR,,"Contains some neonatal data, but mostly adults, with median age of 50+; age info summarized  in table 1, sample level age info not provided",0.16,0.16,0.16,0.16,"England, CUH",na,na,humans,Need to create one,,,,"Study at CUH, 2014-2020, CPE kleb from clinical samples or stools - publication is the long read only (165 samples - most 115 were screening swabs_)",,
"Genomic analysis of the initial dissemination of carbapenem-resistant Klebsiella pneumoniae clones in a tertiary hospital, Tracking the Emergence and Dissemination of a blaNDM-23 Gene in a Multidrug Resistance Plasmid of Klebsiella pneumoniae",MDR NMD,"https://pmc.ncbi.nlm.nih.gov/articles/PMC10327503/#sec15. , https://pmc.ncbi.nlm.nih.gov/articles/PMC10111884/",Kristina,,347,PRJEB37504,,,"Adults only, median age of 70+; sample level age info available in table S1",1,0.77,0.87,0,,,,,,,,,,,
European_wide_survey_of_carbapenem__and_or_colistin_resistant_Enterobacteriaceae,CCRE survey,https://pmc.ncbi.nlm.nih.gov/articles/PMC10668257/,Kristina/David,2767,313,PRJEB39943,AMR,,"Adults, median age of 60+; age info summarized in text, sample level age info not provided",0,0,0,0,TRUE,TRUE,TRUE,TRUE,K found metadata.  Don't know how or from where - 550 missing of 3300,,,,K has located metadata files for this study.  I don't know how.  ? Sanger. The metadata and project description make it clear all samples are from patients in hospitals throughout Europe so host hard coded as human,,
Gastrointestinal carriage of Klebsiella pneumoniae in a general adult population: a cross-sectional study of risk factors and bacterial genomic diversity,Gastrointestinal carriage,https://www.tandfonline.com/doi/10.1080/19490976.2021.1939599?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed,Kristina,,484,PRJEB42350,,,"Adults only, 40+; age info summarized  in table S1, sample level age info not provided",1,1,1,0,,,,,Missing host?,,,,,,
Genomic surveillance of multidrug-resistant¬†Klebsiella¬†in Wales reveals persistent spread of¬†Klebsiella pneumoniae¬†ST307 and adaptive evolution of pOXA-48-like plasmids¬†Open Access,MDR KP Wales,https://www.microbiologyresearch.org/content/journal/mgen/10.1099/mgen.0.001016,Kristina,,539,PRJEB48990,,,patient age not provided,0.07,0.07,0.07,0.07,,,,,,,,,,,
Genomic Analysis of the Emergence and Rapid Global Dissemination of the Clonal Group 258 Klebsiella pneumoniae Pandemic,CG 258 2,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0133727#sec008,Kristina,,167,PRJNA252957,,,patient age not provided,1,1,0,1,,,,,Isolation source?,,,,,,
"Evolution and dissemination of the Klebsiella pneumoniae clonal group 258 throughout Israeli post-acute care hospitals, 2008–13",CG 258,https://academic.oup.com/jac/article/72/8/2219/3806839?login=false#supplementary-data,Kristina,,244,PRJNA341927,,,patient age not provided,1,1,0,1,,,,,Isolation source?,,,,,,
Whole-Genome Sequencing To Identify Drivers of Carbapenem-Resistant Klebsiella pneumoniae Transmission within and between Regional Long-Term Acute-Care Hospitals,Long term accute care,https://pmc.ncbi.nlm.nih.gov/articles/PMC6811406/,Kristina,,453,PRJNA415194,,,"Adults only, age 63-82; age info summarized in table S2, sample level age info not available",,1,1,1,,,,,,,,,,,
"High colonization rate of a novel carbapenem-resistant¬†Klebsiella¬†lineage among migratory birds at Qinghai Lake, China¬†",China colonisation,https://academic.oup.com/jac/article/74/10/2895/5538005#google_vignette,Kristina,,241,PRJNA514908,,,animal/environmental samples only,,,,NA,,,,,Not a ready to merge file. This is a data file,,,,,,
Whole-genome analysis of Klebsiella pneumoniae from bovine mastitis milk in the U.S.,Bovine mastitis,https://enviromicro-journals.onlinelibrary.wiley.com/doi/full/10.1111/1462-2920.15721,Kristina,,180,PRJNA594602,,,dairy-derived samples,1,1,1,1,,,,,,,,,,,
The distribution of fitness effects of plasmid pOXA-48 in clinical enterobacteria,OXA fitness effect,https://pmc.ncbi.nlm.nih.gov/articles/PMC10433420/,Kristina,,156,PRJNA626430,,,patient age not provided,1,1,1,1,,,,,,,,,,,
Colonization with Staphylococcus aureus and Klebsiella pneumoniae causes infections in a Vietnamese intensive care unit,Cietnamise ICUs,https://pmc.ncbi.nlm.nih.gov/articles/PMC8208697/,Kristina,,141,PRJNA646358,,Includes mortality,"Adults, median age of 40+; age info summarized in table 1, sample level age info not provided",1,1,1,1,,,,,,,,,,,
Hypervirulent Klebsiella pneumoniae Causing Neonatal Bloodstream Infections: Emergence of NDM-1-Producing Hypervirulent ST11-K2 and ST15-K54 Strains Possessing pLVPK-Associated Markers,Malawi_neonatal_outbreak,https://pathogen.watch/collection/klebnet-neonatal-sepsis;  https://journals.asm.org/doi/10.1128/spectrum.04121-22?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%20%200pubmed,Kristina,,898,PRJNA684006,surveillance,Paper incl. mortality,"neonatal, sample level age info not provided",,,,NA,,,,,"data.csv in folder (renamed), but not in ready_to_merge format - ONLY 2 SAMPLES IN ATB.  The paper is from Malawi, but the pathogen watch site incl. many sites and many projects. ",,,,,,
Whole genome sequencing reveals hidden transmission of carbapenemase-producing Enterobacterales,CPK Enterobacteriales,https://www.nature.com/articles/s41467-022-30637-5#data-availability,Kristina,,213,PRJNA765801,,,"Adults, median age of 68 years old; age info summarized in text, sample level age info not available",1,1,0,0,,,,,,,,,,,
"TRACE (Tracking Carbapenemase-producing Enterobacteriaceae), wastewater and patient samples, manchester",Manchester_TRACE,https://pubmed.ncbi.nlm.nih.gov/32094139/,Kristina,,769,PRJNA768622,,,patient age not provided,1,1,1,1,,,,,Missing isolation source - 'patient or wastewater' - no specific patient source mentioned,,,"Yes, need preferably chase isolation source",,,
Bactabolize is a tool for high-throughput generation of bacterial strain-specific metabolic models,Bactobolize,https://pmc.ncbi.nlm.nih.gov/articles/PMC10564454/#sa1,Kristina,,392,PRJNA777643,,,patient age not provided,1,1,1,1,,,,,,,,,,,
Highly conserved composite transposon harbouring aerobactin iuc3 in Klebsiella pneumoniae from pigs,aerobactin in pigs,https://pmc.ncbi.nlm.nih.gov/articles/PMC9997749/#s1,Kristina,,150,PRJNA835677,,,Pig samples only,1,1,1,1,,,,,,,,,,,
Plasmid diversity among genetically related Klebsiella pneumoniae blaKPC-2 and blaKPC-3 isolates collected in the Dutch national surveillance,Dutch plasmids,https://www.nature.com/articles/s41598-020-73440-2#MOESM2,Kristina,,479,PRJNA634885,AMR,,patient age not provided,0,0,0,0,FALSE,TRUE,FALSE,FALSE,No ready to merge file for PRJNA634885 or PRJNA634885,,,,Under accession PRJNA634885 I see 144 samples. In All The Bacteria Metadata all samples have location and human host. I have added the year form the metadata of the study. The isolation source is not available. Final file is PRJNA634885_ready_to_merge_with_main_meta.csv,,
"Nationwide, population-based observational study of the molecular epidemiology and temporal trend of carbapenemase-producing Enterobacterales in Norway, 2015 to 2021",Norway population study,https://pmc.ncbi.nlm.nih.gov/articles/PMC10370044/,Kristina,,391,PRJEB56146,AMR,,"neonates, children and adults, median age of 70+; age info summarized in text and fig 1B, sample level age info not provided",0,1,0.974025974,0.97,TRUE,,FALSE,FALSE,Ready to merge. Isolation source has 'Tissue' in it - check meaning,,,,"154 samples in all the bacteria. with 0 missing location: 0 missing year, Source missing: 4, Host missing: 154. The study is clinical and the host is Homo sapiens",,
One Day in Denmark: Nationwide point-prevalence survey of human bacterial isolates and comparison of classical and whole-genome sequence-based species identification methods,One day in Denmark,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0261999#sec017,Kristina,,111,PRJEB37711,Surveillance,,patient age not provided,0.92,1,0.082802548,0.08,TRUE,,TRUE,FALSE,No 'host',,,,"Found 152 samples in All the Bacteria, with 0 missing location: 0 missing year, Source missing: 139, Host missing: 152. Country is Denmark, host is human. All in the metadata ready to merge",,
Sequence-Based Genomic Analysis Reveals Transmission of Antibiotic Resistance and Virulence among Carbapenemase-Producing Klebsiella pneumoniae Strains,CPK transmission,https://journals.asm.org/doi/10.1128/msphere.00143-22,Kristina,,173,PRJNA767944,AMR,,patient age not provided,0,0,0,0,FALSE,TRUE,FALSE,FALSE,,,,,"Found 165 matching samples in All the Bacteria, with 0 missing location: 165 missing year, Source missing: 165, Host missing: 0. Year - 2017, source not available. added year manually as reported by paper (Dec 2016-april 2017). I just added Feb 2017",,
Disinfectant Susceptibility of Third-Generation-Cephalosporin/Carbapenem-Resistant Gram-Negative Bacteria Isolated from the Oral Cavity of Residents of Long-Term-Care Facilities,Desinfectant susceptibility,https://journals.asm.org/doi/10.1128/aem.01712-22,Kristina,,241,PRJDB12075,AMR,,"Older adults, 90+ years old; age info summarized in table 5, sample level age info not provided",1,1,0,0,,,FALSE,TRUE,,,,,"Found 184 matching samples in All the Bacteria, with 0 missing location: 0 missing year, Source missing: 184, Host missing: 0. Source is oral",,
WGS of Carbapenem-resistant Gram-negative clinical isolates from Thailand,Thailand_CRE,Could not find,Kristina,,200,PRJNA532291,AMR,,patient age not provided,1,1,1,1,,,,,,,,,"general_meta[""study_title""].values",,
"Increase in NDM-1 and NDM-1/OXA-48-producing Klebsiella pneumoniae in Germany associated with the war in Ukraine, 2022",Germany-Ukrain-NDM_OXA,https://pmc.ncbi.nlm.nih.gov/articles/PMC9808319/,Kristina,,201,PRJEB58018,Surveillance,,"Adults, median age of 40+; age info summarized in table, sample level age info not provided",0,1,1,1,FALSE,,TRUE,,,,,,"Found 201 matching samples in All the Bacteria, with 0 missing location: 0 missing year, Source missing: 0, Host missing: 201. Source is human",,
"Sequencing at Monash University, Australia from patient samples",Melbourne_patient_samples,Could not find,Kristina,,217,PRJNA810752,NaN,,"unclear, no publication",1,1,1,1,,,,,,,,,"Found 217 matching samples in All the Bacteria, with 0 missing location: 0 missing year, Source missing: 0, Host missing: 0",,
The emergence of highly resistant and hypervirulent Klebsiella pneumoniae CC14 clone in a tertiary hospital over 8 years,CC14 KP clone,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-024-01332-5#MOESM1,Kristina,,457,PRJEB36683,AMR,Includes mortality,"neonate, children, and adults; sample level age info available in table S1",0,1,1,1,FALSE,,TRUE,,,,,,"Found 235 matching samples in All the Bacteria, with 0 missing location: 0 missing year, Source missing: 0, Host missing: 235. Host is Human",,
Characteristics and outcomes of carbapenemase harbouring carbapenem-resistant Klebsiella spp. bloodstream infections: a multicentre prospective cohort study in an OXA-48 endemic setting,CPK bloodstream,https://link.springer.com/article/10.1007/s10096-022-04425-4,Kristina,,258,PRJNA789336,AMR,Includes mortality,"Adults, 40+; age info summarized in table 3, sample level age info not provided",1,1,1,1,,,,,,,,,"Found 258 matching samples in All the Bacteria, with 0 missing location: 0 missing year, Source missing: 0, Host missing: 0",,
Activity of polymyxin B combinations against genetically well-characterised Klebsiella pneumoniae producing NDM-1 and OXA-48-like carbapenemases,polymixin B KP,https://www.sciencedirect.com/science/article/pii/S0924857923002467,Kristina,,275,PRJNA544438,AMR,,patient age not provided,0.88,1,0.847014925,0.85,FALSE,,FALSE,FALSE,,,,,"Found 236 matching samples in All the Bacteria, with 0 missing location: 0 missing year, Source missing: 9, Host missing: 0. The additional source data was available",,
"Whole genome analysis of cephalosporin-resistant Escherichia coli from bloodstream infections in Australia, New Zealand and Singapore: high prevalence of CMY-2 producers and ST131 carrying blaCTX-M-15 and blaCTX-M-27","cephalosporin Autralia, NZ and Singapore",https://academic.oup.com/jac/article/73/3/634/4745835#supplementary-data,Kristina,,294,PRJNA398288,AMR,Includes mortality,"Adults, mean age of 70; age info summarized in table 1, sample level age info not provided",0,1,1,1,FALSE,,,,ONLY 36 SAMPLES,,,,"Found 36 matching samples in All the Bacteria, with 0 missing location: 0 missing year, Source missing: 0, Host missing: 0",,
"Limited Transmission of Klebsiella pneumoniae among Humans, Animals, and the Environment in a Caribbean Island, Guadeloupe (French West Indies)",French West One health,https://pmc.ncbi.nlm.nih.gov/articles/PMC9603589/#_ad93_,Kristina,,331,PRJNA778230,Surveillance,,patient age not provided,1,1,1,1,,,,,,,,,"Found 331 matching samples in All the Bacteria, with 0 missing location: 0 missing year, Source missing: 0, Host missing: 0",,
CARB-ES-19 Multicenter Study of Carbapenemase-Producing Klebsiella pneumoniae and Escherichia coli From All Spanish Provinces Reveals Interregional Spread of High-Risk Clones Such as ST307/OXA-48 and ST512/KPC-3,Spain CPK,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2022.918362/full#supplementary-material,Kristina,,336,PRJEB50822,AMR,,"Mostly adults, 65 and older; age info summarized in text, sample level age info not provided",0,1,1,1,TRUE,,TRUE,,yes,,,,"Found 376 matching samples in All the Bacteria, with 0 missing location: 0 missing year, Source missing: 0, Host missing: 376. Host is all human",,
Molecular characteristics of carbapenemase-producing Enterobacterales in the Netherlands; results of the 2014–2018 national laboratory surveillance,Netherlands CPK,https://www.sciencedirect.com/science/article/pii/S1198743X20300525#tbl1,Kristina,,479,PRJEB35685,AMR,,patient age not provided,0,0,0,0,TRUE,TRUE,TRUE,TRUE,Doesn't seem to have host or isolation source data. Can add human for everything.,,,,"Found 410 matching samples in All the Bacteria, with 50 missing location: 410 missing year, Source missing: 410, Host missing: 410. Merge should be in PRJEB35685_ready_to_merge_with_main_meta.csv",,
"Whole genomes from bacteria collected at diagnostic units around the world 2020 correct paper: Identification of Klebsiella pneumoniae, Klebsiella quasipneumoniae, Klebsiella variicola and Related Phylogroups by MALDI-TOF Mass Spectrometry",word diagnostics,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2018.03000/full,Kristina,,457,PRJEB29143,Surveillance,,patient age not provided,0.8,1,0.995623632,1,FALSE,,TRUE,,DA fixed host,,,,"Found 457 matching samples in All the Bacteria, with 0 missing location: 0 missing year, Source missing: 2, Host missing: 457. Most samples should be human unless the source says drainage",,
"Klebsiella pneumoniae¬†carriage in low-income countries: antimicrobial resistance, genomic diversity and risk factors",KP carriage low income countries,https://pubmed.ncbi.nlm.nih.gov/32404021/,Kristina,,489,PRJEB29143,Surveillance,,"Adults, young mothers 20+ years old; age info summarized in table 1, sample level age info not provided",0,0,0,0,TRUE,TRUE,TRUE,TRUE,yes,,,,"Found 498 matching samples in All the Bacteria, with 8 missing location: 498 missing year, Source missing: 498, Host missing: 498. Metadata is in the form of pdf",,
Integrated chromosomal and plasmid sequence analyses reveal diverse modes of carbapenemase gene spread among¬†Klebsiella pneumoniae,CPK chromosome and plasmids,https://www.pnas.org/doi/10.1073/pnas.2003407117,Kristina,,425,PRJEB29742,Surveillance,,patient age not provided,0,0,0,0,TRUE,TRUE,TRUE,TRUE,looks good,,,,"Found 555 matching samples in All the Bacteria, with 555 missing location: 555 missing year, Source missing: 555, Host missing: 555. Metsdata only available for 83 samples. I see there is a PRJEB29742_ready_to_merge_with_main_meta.csv and edited version but i cannot open the,",,
"Genomic characterisation of multidrug-resistant¬†Escherichia coli, Klebsiella pneumoniae, and¬†Acinetobacter baumannii¬†in two intensive care units in Hanoi, Viet Nam: a prospective observational cohort study",Viet Nam MDR,https://www.thelancet.com/pdfs/journals/lanmic/PIIS2666-5247(22)00181-1.pdf,Kristina,,1316,PRJEB29424,AMR,,patient age not provided,0,0,0,0,TRUE,TRUE,TRUE,TRUE,"isolation source = ST, SP, env, S, UR, n.d. Host not listed - handled by curation scripts",,,,"Found 713 matching samples in All the Bacteria, with 713 missing location: 713 missing year, Source missing: 713, Host missing: 713. Merge file is PRJEB29424_ready_to_merge_with_main_meta",,
"Geographical distribution, disease association and diversity of Klebsiella pneumoniae K/L and O antigens in India: roadmap for vaccine development",India KP antigens,https://pmc.ncbi.nlm.nih.gov/articles/PMC11316559/,Kristina,,1072,PRJEB29740,Surveillance,,"Neonate, children, and adults; sample level age data are available in table S1",0,0,0,0,TRUE,TRUE,,TRUE,"isolation source = ""patient isolate"" is not a host, not an isolation source",,,,"Found 928 matching samples in All the Bacteria, with 928 missing location: 928 missing year, Source missing: 928, Host missing: 928. Data added PRJEB29740_ready_to_merge_with_main_meta.csv",,
"Population Genomic Analysis of 1,777 Extended-Spectrum Beta-Lactamase-Producing¬†Klebsiella pneumoniae¬†Isolates, Houston, Texas: Unexpected Abundance of Clonal Group 307",ESPL KP Texas,https://pubmed.ncbi.nlm.nih.gov/28512093/,Kristina,,1777,PRJNA376414,AMR,Included mortality,patient age not provided,1,1,0.999432785,1,,,,,,,,,"Found 1763 matching samples in All the Bacteria, with 0 missing location: 0 missing year, Source missing: 1, Host missing: 0",,
A genome-wide One Health study of¬†Klebsiella pneumoniae¬†in Norway reveals overlapping populations but few recent transmission events across reservoirs,One Health Norway,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-025-01466-0,Kristina/David,,3255,PRJEB74192,Surveillance,,patient age not provided,,,,,,,,,"data.csv in folder (renamed), but not in ready_to_merge format - it contains a collection of many project numbers, not just this one",,,,Study not in All the Bacteria. Metadata is in 13073_2025_1466_MOESM2_ESM.xlsx Table S4,,
"Published on Pathogenwatch A Decade-Long Evaluation of Neonatal Septicaemic Escherichia coli: Clonal Lineages, Genomes, and New Delhi Metallo-Beta-Lactamase Variants",India_enterobacteriaceae,https://pathogen.watch/collection/klebnet-neonatal-sepsis; https://journals.asm.org/doi/full/10.1128/spectrum.05215-22,Kristina,,982,PRJNA548120,,,Part Pathogenwatch neonatal collection,1,1,0.999432785,1,,,,,ONLY 10 SAMPLES IN ATB,,,,PRJNA548120_ready_to_merge_with_main_meta.csv,,
Published on Pathogenwatch,India_enterobacteriaceae,https://pathogen.watch/collection/klebnet-neonatal-sepsis; https://journals.asm.org/doi/full/10.1128/spectrum.05215-22,Kristina,,608,PRJNA548120,,,Part Pathogenwatch neonatal collection,1,1,0.999432785,1,,,,,"data.csv in folder (renamed), but not in ready_to_merge format",,,,,,
Surveillance and Genomic Analysis of Third-Generation Cephalosporin-Resistant and Carbapenem-Resistant Klebsiella pneumoniae Complex in Germany,Germany_ESBL,https://pmc.ncbi.nlm.nih.gov/articles/PMC9598256/,David,266,286,PRJEB39867,AMR plus control,No,"All age > 18 years, paeds excluded",1,1,0,0,FALSE,FALSE,FALSE,FALSE,"done. No extra metadata available, dev_stage coded as adult",,,,,,
