study_accession	study_type	study_type_excluded	paper_records_in_taxon	paper_coverage_for_taxon	needs_manual_download	fulltext_source	is_full_text	model	study_setting__value	study_setting__grade	amr_study__value	amr_study__grade	amr_target__value	amr_target__grade	amr_method__value	amr_method__grade	cohort_age__value	cohort_age__grade	backfill_country__value	backfill_country__whole_project	backfill_isolation_source__value	backfill_isolation_source__whole_project	backfill_host__value	backfill_host__whole_project	backfill_collection_date__value	backfill_collection_date__whole_project
PRJEB76311	observational	False	49	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	mixed	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Egypt	True		False		False	2021-07-01	True
PRJNA575579	observational	False	49	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	adult	gradeable	China	True		False	human	True		False
PRJDB8975	observational	False	46	0.9388	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Myanmar	True		False	human	True	2016-11-01	True
PRJEB34793	experimental_evolution	True	47	0.9592	False	europepmc_fulltext	True	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	United Kingdom	True	water-filled tree hole	True	water-filled tree hole	True	2013-12-01	True
PRJEB62836	observational	False	48	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Portugal	True		False		False		False
PRJNA836696	observational	False	35	0.7292	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	USA	True	blood	True	human	True		False
PRJNA744003	observational	False	48	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Switzerland	True		False	human	True	2020-01-01	True
PRJNA986308	observational	False			True	none	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable		not_gradeable		not_gradeable		False		False	human	True		False
PRJEB50270	other	False			False	europepmc_fulltext	True	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA438531	observational	False			True	abstract	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable		not_gradeable		not_gradeable		not_gradeable		False		False	human	True		False
PRJNA673499	observational	False	47	1.0	False	pdf	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable	mixed	gradeable	USA	True		False	human	True		False
PRJEB21015	observational	False			False	pdf	True	claude-sonnet-4-6	community	partial	surveillance	partial		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJNA922161	experimental_evolution	True	46	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
PRJEB76496	observational	False	46	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable	Croatia	True		False	human	True	2022-02-01	True
PRJEB34532	observational	False	26	0.5652	False	europepmc_fulltext	True	claude-sonnet-4-6	mixed	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable		partial	Netherlands	True		False		False	2009-04-01	True
PRJNA1092662	observational	False			False	none	False	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	USA	True		False		False		False
PRJNA515630	observational	False	46	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	mixed	gradeable	Czech Republic	True		False	human	True		False
PRJNA390933	observational	False	46	1.0	True	abstract	False	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Canada	True		False	human	True		False
PRJEB9327	observational	False	46	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	third_gen_cephalosporin	gradeable	ast_result	gradeable	newborn_young_child	gradeable		False		False		False		False
PRJNA704495	observational	False	47	1.0217	False	pdf	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Singapore	True		False	human	True	2019-11-01	True
PRJEB36171	observational	False	45	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Italy	True		False	human	True		False
PRJDB5126	observational	False	21	0.4667	False	pdf	True	claude-sonnet-4-6	mixed	partial	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Myanmar	True		False		False	2016-03-01	True
PRJNA552297	experimental_evolution	True	45	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6		not_gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable		not_gradeable		False		False		False		False
PRJNA308116	observational	False	34	0.7556	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	other	gradeable	ast_result	gradeable		not_gradeable	Pakistan	True		False	human	True		False
PRJEB41225	observational	False	45	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	pcr_gene_presence	gradeable		not_gradeable	Brazil	True	blood	True	human	True		False
PRJDB11603	other	False	17	0.3778	False	europepmc_fulltext	True	claude-sonnet-4-6	community	gradeable	surveillance	gradeable		not_gradeable		not_gradeable		not_gradeable	Japan	True		False		False	2020-07-30	True
PRJNA1085970	observational	False	45	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	carbapenem	gradeable	ast_result	gradeable	adult	gradeable	China	True		False	human	True		False
PRJNA449293	observational	False	45	1.0	False	europepmc_fulltext	True	claude-sonnet-4-6	hospital	gradeable	amr	gradeable	other	gradeable	ast_result	gradeable		not_gradeable	Serbia	True		False	human	True		False
PRJNA323522	observational	False			True	none	False	claude-sonnet-4-6		not_gradeable		not_gradeable		not_gradeable		not_gradeable		not_gradeable		False		False		False		False
